
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  91   1   0   2|  11k   65k|   0     0 |   0     0 |1572  2340 |0.14 0.17 0.26| 189M 44.8M  191M 3005M
  0   0 100   0   0   0|   0  5461B|2405B  974B|   0     0 |  24    40 |0.12 0.17 0.26| 189M 44.8M  191M 3005M
  8   2  89   0   0   0|   0  4779B|  22k  297k|   0     0 |  76   940 |0.11 0.16 0.26| 192M 44.8M  191M 3002M
  0   0  99   0   0   1|   0  6144B|  35k  494k|   0     0 | 234  1335 |0.11 0.16 0.26| 191M 44.8M  191M 3003M
  1   1  98   0   0   0|   0  2048B|  35k  500k|   0     0 | 296  1358 |0.10 0.16 0.25| 191M 44.8M  191M 3003M
  0   0  99   0   0   0|   0  2731B|  36k  506k|   0     0 | 247  1389 |0.08 0.15 0.25| 191M 44.8M  191M 3003M
  1   0  99   0   0   0|   0  4779B|  35k  503k|   0     0 | 165  1288 |0.07 0.15 0.25| 192M 44.8M  191M 3002M
  0   0  99   0   0   0|   0  6827B|  35k  511k|   0     0 | 119  1346 |0.07 0.15 0.25| 192M 44.8M  191M 3002M
  0   1  98   1   0   0|   0  6827B|  36k  511k|   0     0 | 312  1397 |0.06 0.14 0.25| 191M 44.8M  191M 3003M
  1   0  99   0   0   0|   0  2048B|  36k  509k|   0     0 | 189  1325 |0.06 0.14 0.25| 192M 44.8M  191M 3002M
  0   0  99   0   0   0|   0  2731B|  35k  512k|   0     0 |  25  1284 |0.05 0.14 0.24| 192M 44.8M  191M 3002M
  1   1  98   0   0   0|   0  2731B|  35k  499k|   0     0 |  24  1256 |0.04 0.13 0.24| 192M 44.8M  191M 3002M
  1   0  99   0   0   0|   0  2731B|  26k  358k|   0     0 |  30   947 |0.04 0.13 0.24| 189M 44.8M  191M 3005M
  0   0  99   0   0   0|   0  8192B|2476B 1200B|   0     0 |  26    51 |0.04 0.13 0.24| 189M 44.8M  191M 3005M
  8   1  91   0   0   0|   0  2731B|7023B 2020B|   0     0 |  72   212 |0.03 0.13 0.24| 191M 44.8M  191M 3003M
  0   1  99   0   0   0|   0  4779B| 471k   36k|   0     0 | 265  1205 |0.03 0.12 0.23| 191M 44.8M  191M 3002M
  1   1  97   0   0   1|   0  2048B| 491k   37k|   0     0 | 298  1358 |0.03 0.12 0.23| 194M 44.8M  191M 3000M
  1   1  98   0   0   1|   0  2048B| 491k   38k|   0     0 | 297  1383 |0.02 0.12 0.23| 192M 44.8M  191M 3002M
  1   1  98   0   0   0|   0  6144B| 490k   37k|   0     0 | 220  1293 |0.02 0.12 0.23| 192M 44.8M  191M 3002M
  1   0  99   0   0   0|   0  5461B| 488k   37k|   0     0 | 323  1332 |0.02 0.11 0.23| 192M 44.8M  191M 3002M
  0   1  98   0   0   0|   0  5461B| 495k   37k|   0     0 | 288  1352 |0.02 0.11 0.23| 194M 44.9M  191M 3000M
  1   1  98   0   0   1|   0  2731B| 493k   38k|   0     0 | 332  1323 |0.01 0.11 0.22| 191M 44.9M  191M 3002M
  1   1  98   0   0   0|   0  2048B| 492k   38k|   0     0 |  97  1292 |0.01 0.11 0.22| 191M 44.9M  191M 3002M
  1   1  98   0   0   0|   0  2048B| 490k   37k|   0     0 |  26  1238 |0.01 0.10 0.22| 191M 44.9M  191M 3003M
  0   0  99   0   0   0|   0  2731B| 486k   37k|   0     0 |  23  1237 |0.01 0.10 0.22| 191M 44.9M  191M 3003M
  0   0  99   0   0   0|   0  4096B| 161k   13k|   0     0 |  30   485 |0.01 0.10 0.22| 189M 44.9M  191M 3004M

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  92   1   0   2|  11k   65k|   0     0 |   0     0 |1560  2330 |0.25 0.15 0.23| 189M 44.9M  191M 3005M
  0   0  99   0   0   0|   0  6144B|2405B  974B|   0     0 |  23    56 |0.23 0.14 0.23| 189M 44.9M  191M 3005M
  8   2  89   0   0   0|   0  4779B|  23k  295k|   0     0 | 162   985 |0.29 0.16 0.23| 191M 44.9M  191M 3003M
  0   1  99   0   0   0|   0  2731B|  35k  500k|   0     0 | 234  1305 |0.25 0.15 0.23| 192M 44.9M  191M 3002M
  0   1  98   0   0   0|   0  4779B|  34k  501k|   0     0 | 151  1314 |0.55 0.22 0.25| 191M 44.9M  191M 3002M
  1   1  98   0   0   0|   0  2048B|  35k  495k|   0     0 |  24  1249 |0.50 0.21 0.25| 191M 44.9M  191M 3003M
  1   1  99   0   0   0|   0  8192B|  36k  503k|   0     0 |  27  1265 |0.46 0.21 0.25| 192M 44.9M  191M 3002M
  1   0  99   0   0   0|   0  4779B|  36k  509k|   0     0 |  26  1263 |0.42 0.20 0.25| 192M 44.9M  191M 3002M
  1   0  99   0   0   0|   0  4096B|  34k  495k|   0     0 |  28  1252 |0.36 0.20 0.25| 192M 44.9M  191M 3002M
  1   1  98   0   0   0|   0  2048B|  35k  500k|   0     0 |  25  1243 |0.33 0.19 0.24| 191M 44.9M  191M 3002M
  1   0  99   0   0   0|   0  2731B|  36k  504k|   0     0 |  28  1279 |0.30 0.19 0.24| 192M 44.9M  191M 3002M
  0   0  99   0   0   0|   0  4779B|  36k  507k|   0     0 |  24  1275 |0.28 0.19 0.24| 191M 44.9M  191M 3002M
  1   1  98   0   0   0|   0  2048B|  27k  378k|   0     0 | 166  1047 |0.26 0.18 0.24| 189M 44.9M  191M 3004M
  0   0  99   0   0   0|   0  4779B|1203B  487B|   0     0 |  26    50 |0.22 0.18 0.24| 191M 45.0M  191M 3002M
  7   2  91   0   0   0|   0  3413B|4454B 2050B|   0     0 |  67   207 |0.36 0.21 0.25| 191M 45.0M  191M 3002M
  1   0  98   0   0   1|   0  4779B| 485k   37k|   0     0 | 240  1345 |0.33 0.20 0.24| 192M 45.0M  191M 3002M
  0   0  99   0   0   0|   0  3413B| 490k   37k|   0     0 |  26  1269 |0.30 0.20 0.24| 191M 45.0M  191M 3002M
  0   0  99   0   0   0|   0  2048B| 496k   38k|   0     0 |  23  1282 |0.28 0.20 0.24| 192M 45.0M  191M 3002M
  0   0  99   0   0   0|   0  6144B| 491k   37k|   0     0 |  27  1275 |0.24 0.19 0.24| 192M 45.0M  191M 3002M
  1   0  99   0   0   0|   0  2731B| 490k   37k|   0     0 | 159  1269 |0.22 0.19 0.24| 191M 45.0M  191M 3002M
  1   0  99   0   0   0|   0  6144B| 490k   37k|   0     0 | 325  1327 |0.20 0.18 0.24| 191M 45.0M  191M 3002M
  1   1  98   0   0   0|   0  2048B| 506k   38k|   0     0 | 156  1353 |0.18 0.18 0.23| 191M 45.0M  191M 3002M
  1   1  98   1   0   1|   0  4779B| 508k   39k|   0     0 | 157  1390 |0.17 0.18 0.23| 192M 45.0M  191M 3002M
  1   0  98   0   0   1|   0  2731B| 511k   39k|   0     0 | 107  1334 |0.14 0.17 0.23| 191M 45.0M  191M 3002M
  1   1  98   0   0   0|   0  2731B| 511k   39k|   0     0 |  25  1306 |0.13 0.17 0.23| 191M 45.0M  191M 3003M
  0   0  99   0   0   0|   0  4779B| 169k   13k|   0     0 |  29   474 |0.12 0.16 0.23| 189M 45.0M  191M 3005M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  92   1   0   2|  11k   64k|   0     0 |   0     0 |1548  2319 |0.27 0.20 0.24| 189M 45.0M  191M 3005M
  0   0 100   0   0   0|   0  2731B|2466B 1008B|   0     0 |  25    44 |0.23 0.19 0.23| 189M 45.0M  191M 3005M
  8   2  89   0   0   0|   0  6144B|  22k  302k|   0     0 | 315   969 |0.21 0.18 0.23| 192M 45.0M  191M 3002M
  0   1  99   0   0   0|   0  2731B|  35k  497k|   0     0 | 147  1358 |0.19 0.18 0.23| 192M 45.0M  191M 3002M
  1   1  98   0   0   0|   0  3413B|  35k  496k|   0     0 | 186  1334 |0.18 0.18 0.23| 192M 45.0M  191M 3002M
  0   1  98   0   0   0|   0  9557B|  34k  501k|   0     0 | 115  1361 |0.16 0.17 0.23| 192M 45.0M  191M 3002M
  1   0  98   0   0   1|   0  2731B|  36k  504k|   0     0 | 302  1381 |0.14 0.17 0.22| 192M 45.0M  191M 3002M
  1   0  99   0   0   0|   0  4096B|  36k  509k|   0     0 |  51  1318 |0.13 0.17 0.22| 192M 45.0M  191M 3002M
  1   0  98   1   0   0|   0  8192B|  36k  513k|   0     0 | 294  1412 |0.12 0.16 0.22| 192M 45.0M  191M 3002M
  1   0  98   0   0   0|   0  2731B|  36k  508k|   0     0 | 281  1389 |0.11 0.16 0.22| 192M 45.1M  191M 3002M
  0   0  98   0   0   1|   0  6827B|  35k  513k|   0     0 | 305  1375 |0.10 0.16 0.22| 192M 45.1M  191M 3002M
  1   1  98   0   0   0|   0  2731B|  35k  497k|   0     0 | 306  1383 |0.08 0.15 0.22| 192M 45.1M  191M 3001M
  0   1  99   0   0   0|   0  3413B|  26k  357k|   0     0 | 236  1065 |0.08 0.15 0.21| 190M 45.1M  191M 3004M
  0   0 100   0   0   0|   0  6144B|2405B  974B|   0     0 |  25    38 |0.07 0.15 0.21| 189M 45.1M  191M 3004M
  7   2  91   0   0   0|   0  5461B|3043B 1451B|   0     0 |  63   177 |0.06 0.14 0.21| 192M 45.1M  191M 3002M
  1   0  98   0   0   1|   0  5461B| 449k   34k|   0     0 | 270  1329 |0.06 0.14 0.21| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  7509B| 491k   37k|   0     0 | 342  1337 |0.05 0.14 0.21| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  2731B| 491k   37k|   0     0 | 275  1339 |0.04 0.13 0.21| 192M 45.1M  191M 3001M
  1   0  99   0   0   0|   0  2731B| 495k   38k|   0     0 |  24  1272 |0.04 0.13 0.20| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  2731B| 489k   37k|   0     0 |  24  1262 |0.04 0.13 0.20| 192M 45.1M  191M 3002M
  0   0  98   0   0   1|   0    11k| 499k   38k|   0     0 | 190  1384 |0.03 0.13 0.20| 194M 45.1M  191M 2999M
  1   1  98   0   0   1|   0  2731B| 511k   39k|   0     0 | 375  1367 |0.03 0.12 0.20| 192M 45.1M  191M 3002M
  1   1  98   0   0   0|   0  5461B| 515k   39k|   0     0 | 267  1405 |0.03 0.12 0.20| 192M 45.1M  191M 3002M
  1   0  99   0   0   0|   0  2731B| 513k   39k|   0     0 |  25  1321 |0.02 0.12 0.20| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  3413B| 512k   39k|   0     0 |  99  1358 |0.02 0.11 0.19| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  6827B| 194k   15k|   0     0 | 170   574 |0.02 0.11 0.19| 189M 45.1M  191M 3004M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   3  92   1   0   2|  11k   64k|   0     0 |   0     0 |1537  2309 |0.10 0.13 0.20| 189M 45.1M  191M 3004M
  0   0  99   0   0   0|   0  2731B|2476B 1200B|   0     0 |  29    59 |0.09 0.12 0.19| 189M 45.1M  191M 3004M
  8   2  90   0   0   0|   0  7509B|  22k  294k|   0     0 | 267   962 |0.08 0.12 0.19| 191M 45.1M  191M 3002M
  1   1  99   0   0   0|   0  6827B|  35k  500k|   0     0 | 357  1310 |0.07 0.12 0.19| 191M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  2731B|  35k  515k|   0     0 | 235  1360 |0.06 0.11 0.19| 192M 45.1M  191M 3002M
  1   1  98   0   0   0|   0  4096B|  36k  508k|   0     0 | 131  1364 |0.06 0.11 0.19| 192M 45.1M  191M 3002M
  1   1  98   0   0   0|   0  3413B|  36k  514k|   0     0 | 187  1406 |0.05 0.11 0.19| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  2731B|  37k  520k|   0     0 |  24  1339 |0.05 0.11 0.18| 192M 45.1M  191M 3002M
  0   0  99   0   0   0|   0  8192B|  35k  511k|   0     0 | 109  1347 |0.04 0.11 0.18| 192M 45.2M  191M 3002M
