
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  97   0   0   0|  18k   36k|   0     0 |   0     0 |5343  9169 |0.13 0.38 0.54| 270M 41.6M  420M 13.0G
  2   0  98   0   0   0|   0   167k|2969B 1801B|   0     0 | 110   359 |0.12 0.37 0.54| 271M 41.6M  420M 13.0G
  1   0  99   0   0   0|   0  4779B| 494k  494k|   0     0 |1245  2514 |0.11 0.36 0.53| 281M 41.6M  420M 13.0G
  1   0  99   0   0   0|   0    10k| 527k  527k|   0     0 |1102  2563 |0.09 0.35 0.53| 282M 41.6M  420M 13.0G
  0   0  99   0   0   0|   0  2048B| 530k  530k|   0     0 | 976  2551 |0.08 0.34 0.52| 286M 41.6M  420M 13.0G
  1   0  99   0   0   0|   0  3413B| 543k  543k|   0     0 |1219  2739 |0.08 0.34 0.52| 296M 41.6M  420M 13.0G
  0   0 100   0   0   0|   0    11k| 541k  540k|   0     0 |1175  2640 |0.07 0.33 0.52| 295M 41.6M  420M 13.0G
  0   0 100   0   0   0|   0  2048B| 545k  545k|   0     0 | 904  2669 |0.14 0.34 0.52| 295M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  2048B| 529k  529k|   0     0 | 756  2606 |0.12 0.33 0.52| 315M 41.7M  420M 12.9G
  0   0  99   0   0   0|   0  6144B| 551k  551k|   0     0 | 822  2609 |0.11 0.33 0.51| 327M 41.7M  420M 12.9G
  0   0  99   0   0   0|   0  2048B| 539k  538k|   0     0 | 933  2523 |0.10 0.32 0.51| 327M 41.7M  420M 12.9G
  0   0 100   0   0   0|   0  6144B| 531k  531k|   0     0 | 800  2395 |0.09 0.31 0.51| 338M 41.7M  420M 12.9G
  6   1  93   0   0   0|   0    27k| 209k  209k|   0     0 | 546  1623 |0.09 0.31 0.50| 255M 41.7M  420M 13.0G
  9   2  90   0   0   0|   0    14k|3100B 2997B|   0     0 | 504  1269 |0.23 0.33 0.51| 260M 41.7M  420M 13.0G
  2   1  97   0   0   0|   0    29k| 176k  176k|   0     0 | 575  1388 |0.21 0.33 0.51| 276M 41.7M  420M 13.0G
  1   0  99   0   0   0|   0  9557B| 507k  507k|   0     0 |1212  2327 |0.19 0.32 0.50| 279M 41.7M  420M 13.0G
  1   0  99   0   0   0|   0  2048B| 524k  524k|   0     0 |1236  2367 |0.18 0.32 0.50| 279M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  6827B| 532k  532k|   0     0 |1159  2425 |0.16 0.31 0.50| 280M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0    24k| 522k  521k|   0     0 |1058  2397 |0.14 0.30 0.49| 283M 41.7M  420M 13.0G
  0   0 100   0   0   0|   0    10k| 527k  527k|   0     0 | 942  2437 |0.12 0.29 0.49| 283M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  2048B| 525k  525k|   0     0 | 884  2518 |0.11 0.29 0.49| 283M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  6827B| 531k  532k|   0     0 | 902  2582 |0.11 0.28 0.48| 285M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  1365B| 529k  529k|   0     0 | 893  2493 |0.10 0.28 0.48| 286M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  2731B| 520k  519k|   0     0 | 889  2431 |0.08 0.27 0.47| 296M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0  6144B| 517k  518k|   0     0 | 546  2503 |0.07 0.26 0.47| 296M 41.7M  420M 13.0G
  7   1  91   0   0   0|   0    27k|2583B 2571B|   0     0 | 283   873 |0.15 0.28 0.47| 219M 41.7M  420M 13.0G

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  97   0   0   0|  17k   36k|   0     0 |   0     0 |5306  9112 |0.14 0.27 0.47| 270M 41.7M  420M 13.0G
  2   0  98   0   0   0|   0    11k|2898B 1588B|   0     0 |  95   347 |0.12 0.26 0.47| 271M 41.7M  420M 13.0G
  1   0  99   0   0   0|   0  2731B| 484k  488k|   0     0 |1210  2402 |0.11 0.26 0.46| 291M 41.7M  420M 13.0G
  1   0  99   0   0   0|   0  2731B| 531k  534k|   0     0 |1169  2459 |0.18 0.27 0.47| 293M 41.7M  420M 13.0G
  0   0  99   0   0   0|   0    24k| 531k  534k|   0     0 |1215  2481 |0.16 0.27 0.46| 295M 41.8M  420M 13.0G
  1   0  99   0   0   0|   0  9557B| 532k  534k|   0     0 |1073  2436 |0.15 0.26 0.46| 297M 41.8M  420M 13.0G
  0   0  99   0   0   0|   0  2731B| 541k  544k|   0     0 | 938  2450 |0.13 0.25 0.45| 298M 41.8M  420M 13.0G
  0   0 100   0   0   0|   0  6144B| 536k  538k|   0     0 | 916  2485 |0.12 0.25 0.45| 299M 41.8M  420M 13.0G
  0   0  99   0   0   0|   0  2048B| 529k  531k|   0     0 | 906  2454 |0.11 0.24 0.45| 331M 41.8M  420M 12.9G
  0   0 100   0   0   0|   0  2048B| 531k  532k|   0     0 | 970  2391 |0.10 0.24 0.45| 331M 41.8M  420M 12.9G
  0   0 100   0   0   0|   0  6827B| 539k  540k|   0     0 | 984  2480 |0.09 0.23 0.44| 341M 41.8M  420M 12.9G
  0   0 100   0   0   0|   0  2048B| 542k  543k|   0     0 |1107  2540 |0.08 0.23 0.44| 341M 41.8M  420M 12.9G
  5   1  94   0   0   0|   0    42k| 227k  228k|   0     0 | 709  1715 |0.15 0.24 0.44| 248M 41.8M  420M 13.0G
