
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   4  91   1   0   1|  17k   52k|   0     0 |   0     0 |  18  1868 |0.39 0.19 0.12| 198M 41.6M  296M 1130M
  1   0  99   0   0   0|   0  5461B| 164k   12k|   0     0 |  18   231 |0.36 0.19 0.12| 199M 41.6M  296M 1129M
  1   1  98   0   0   0|   0  3413B| 493k   33k|   0     0 |  18   586 |0.33 0.19 0.12| 199M 41.6M  296M 1129M
  1   1  98   0   0   0|   0  2048B| 502k   34k|   0     0 |  18   639 |0.28 0.18 0.12| 199M 41.6M  296M 1129M
  1   1  98   0   0   0|   0  8192B| 502k   34k|   0     0 |  18   647 |0.26 0.18 0.12| 199M 41.6M  296M 1129M
  1   1  97   1   0   0|   0  4779B| 510k   35k|   0     0 |  18   630 |0.24 0.17 0.12| 199M 41.6M  296M 1129M
  1   1  97   0   0   0|   0  2048B| 508k   34k|   0     0 |  18   642 |0.22 0.17 0.11| 199M 41.6M  296M 1129M
  1   1  98   0   0   0|   0  2048B| 514k   35k|   0     0 |  18   643 |0.20 0.17 0.11| 199M 41.6M  296M 1129M
  1   1  98   0   0   0|   0  2048B| 505k   34k|   0     0 |  18   624 |0.17 0.16 0.11| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2731B| 513k   35k|   0     0 |  18   597 |0.15 0.16 0.11| 199M 41.7M  296M 1129M
  0   1  98   0   0   0|   0  4779B| 504k   34k|   0     0 |  18   613 |0.14 0.16 0.11| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2731B| 498k   34k|   0     0 |  18   566 |0.13 0.15 0.11| 199M 41.7M  296M 1129M
  0   0  98   1   0   0|   0  1365B|2610B  667B|   0     0 |  18    33 |0.12 0.15 0.11| 199M 41.7M  296M 1129M
  1   1  98   1   0   0|   0  3413B|2663B 1299B|   0     0 |  18    62 |0.10 0.14 0.11| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2048B|  28k  339k|   0     0 |  18   391 |0.09 0.14 0.10| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  39k  493k|   0     0 |  18   589 |0.08 0.14 0.10| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  39k  486k|   0     0 |  18   610 |0.08 0.14 0.10| 199M 41.7M  296M 1129M
  0   1  98   1   0   0|   0  3413B|  38k  492k|   0     0 |  18   563 |0.15 0.15 0.11| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  38k  483k|   0     0 |  18   552 |0.13 0.15 0.11| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2048B|  39k  494k|   0     0 |  18   572 |0.12 0.14 0.10| 199M 41.7M  296M 1129M
  1   0  98   0   0   0|   0  2731B|  39k  490k|   0     0 |  18   582 |0.11 0.14 0.10| 199M 41.7M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  39k  497k|   0     0 |  18   592 |0.10 0.14 0.10| 199M 41.8M  296M 1129M
  1   1  98   0   0   0|   0  2048B|  38k  488k|   0     0 |  18   562 |0.09 0.14 0.10| 199M 41.8M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  38k  485k|   0     0 |  18   596 |0.08 0.13 0.10| 199M 41.8M  296M 1129M
  1   1  98   0   0   0|   0  2731B|  24k  293k|   0     0 |  18   385 |0.07 0.13 0.10| 199M 41.8M  296M 1129M
 17   3  81   0   0   0|   0  4096B|2045B 1058B|   0     0 |  18   158 |0.06 0.13 0.10| 205M 41.8M  296M 1123M

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   4  91   1   0   1|  17k   51k|   0     0 |   0     0 |  18  1857 |0.06 0.12 0.10| 199M 41.8M  296M 1129M
  1   0  99   0   0   0|   0  3413B| 158k   11k|   0     0 |  18   206 |0.05 0.12 0.10| 199M 41.8M  296M 1129M
  1   1  97   0   0   0|   0  2731B| 503k   34k|   0     0 |  18   594 |0.05 0.12 0.09| 199M 41.8M  296M 1129M
  2   1  97   0   0   0|   0  4779B| 507k   34k|   0     0 |  18   562 |0.04 0.12 0.09| 199M 41.8M  296M 1129M
  1   1  98   0   0   0|   0  2731B| 504k   34k|   0     0 |  18   583 |0.04 0.11 0.09| 199M 41.8M  296M 1129M
  1   1  95   3   0   0|   0  6144B| 501k   34k|   0     0 |  18   582 |0.03 0.11 0.09| 199M 41.8M  296M 1129M
  1   2  97   0   0   0|   0  2731B| 513k   34k|   0     0 |  18   568 |0.03 0.11 0.09| 199M 41.8M  296M 1129M
  1   1  98   0   0   0|   0  6144B| 499k   33k|   0     0 |  18   561 |0.03 0.11 0.09| 199M 41.8M  296M 1129M
  1   1  98   0   0   0|   0  2048B| 505k   34k|   0     0 |  18   566 |0.02 0.10 0.09| 199M 41.9M  296M 1129M
  1   1  98   0   0   0|   0  2731B| 503k   33k|   0     0 |  18   573 |0.02 0.10 0.09| 199M 41.9M  296M 1129M
  1   1  98   0   0   0|   0  2731B| 509k   34k|   0     0 |  18   590 |0.02 0.10 0.09| 199M 41.9M  296M 1129M
