
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   2  82  12   0   0| 484k  181M|   0     0 |   0     0 |  82   277 |0.19 0.26 0.13| 165M 19.3M  131M 3124M
  0   0  95   5   0   0|   0  3079k|2405B  974B|   0     0 |  22    61 |0.16 0.25 0.13| 167M 19.3M  131M 3122M
  7   2  89   1   0   0|  45k 6827B|  27k  370k|   0     0 | 278  1006 |0.15 0.25 0.13| 167M 19.3M  132M 3121M
  1   1  97   1   0   0|   0  9557B|  49k  714k|   0     0 | 332  1687 |0.14 0.24 0.13| 167M 19.3M  132M 3121M
  1   1  98   0   0   1|   0  8192B|  51k  732k|   0     0 | 393  1834 |0.13 0.24 0.13| 167M 19.3M  132M 3121M
  1   1  97   0   0   1|   0  2048B|  49k  728k|   0     0 | 374  1865 |0.12 0.24 0.13| 169M 19.4M  132M 3119M
  1   1  98   0   0   0|   0  4096B|  50k  730k|   0     0 | 300  1701 |0.10 0.23 0.12| 167M 19.4M  132M 3121M
  1   1  97   0   0   1|   0  3413B|  50k  719k|   0     0 | 291  1732 |0.09 0.22 0.12| 167M 19.4M  132M 3121M
  1   0  99   0   0   0|   0  4096B|  48k  703k|   0     0 |  26  1499 |0.08 0.22 0.12| 169M 19.4M  132M 3119M
  0   1  98   0   0   0|   0  2048B|  51k  738k|   0     0 |  27  1551 |0.08 0.22 0.12| 169M 19.4M  132M 3119M
  1   1  98   0   0   0|   0  5461B|  50k  730k|   0     0 |  24  1555 |0.07 0.21 0.12| 167M 19.4M  132M 3121M
  1   1  98   0   0   0|   0  2048B|  50k  721k|   0     0 |  27  1532 |0.06 0.20 0.12| 169M 19.4M  132M 3119M
  1   0  99   0   0   0|   0  3413B|  25k  340k|   0     0 |  28   788 |0.05 0.20 0.12| 167M 19.4M  132M 3121M
  0   0 100   0   0   0|   0  4779B|1213B  496B|   0     0 |  21    43 |0.05 0.20 0.12| 165M 19.4M  132M 3123M
  7   2  90   0   0   0|   0  4779B| 152k   13k|   0     0 | 151   576 |0.04 0.19 0.12| 167M 19.4M  132M 3121M
  1   1  98   0   0   1|   0  2048B| 713k   54k|   0     0 | 419  1763 |0.04 0.19 0.11| 169M 19.4M  132M 3119M
  1   1  98   0   0   0|   0  2048B| 722k   55k|   0     0 | 534  1534 |0.03 0.18 0.11| 167M 19.4M  132M 3121M
  0   1  98   0   0   0|   0  6144B| 726k   55k|   0     0 | 424  1671 |0.03 0.18 0.11| 167M 19.5M  132M 3121M
  1   1  97   0   0   1|   0  2731B| 712k   54k|   0     0 | 353  1784 |0.03 0.18 0.11| 169M 19.5M  132M 3119M
  1   1  97   1   0   1|   0  4779B| 733k   56k|   0     0 | 427  1745 |0.03 0.17 0.11| 167M 19.5M  132M 3120M
  1   1  98   0   0   1|   0  5461B| 762k   58k|   0     0 | 254  1758 |0.02 0.17 0.11| 167M 19.5M  132M 3121M
  1   1  98   0   0   0|   0  2048B| 733k   55k|   0     0 | 451  1661 |0.02 0.16 0.11| 169M 19.5M  132M 3119M
  1   1  98   0   0   1|   0  2048B| 735k   55k|   0     0 |  61  1615 |0.02 0.16 0.11| 167M 19.5M  132M 3121M
  1   1  98   0   0   0|   0  2048B| 737k   56k|   0     0 |  27  1578 |0.02 0.16 0.10| 169M 19.5M  132M 3119M
  1   1  98   0   0   1|   0  2731B| 609k   46k|   0     0 |  30  1326 |0.01 0.16 0.10| 165M 19.5M  132M 3123M
  5   1  94   0   0   0|   0  2731B|2497B 1437B|   0     0 |  41   203 |0.01 0.15 0.10| 194M 19.5M  132M 3094M

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  86   8   0   0| 336k  126M|   0     0 |   0     0 | 122   608 |0.17 0.18 0.11| 165M 19.5M  132M 3123M
  0   0  99   0   0   0|   0  4096B|2437B 1001B|   0     0 |  22    51 |0.16 0.18 0.11| 167M 19.5M  132M 3121M
  7   2  91   0   0   1|   0  4779B|  32k  433k|   0     0 | 296  1303 |0.23 0.19 0.12| 167M 19.5M  132M 3121M
  1   1  98   0   0   0|   0  2048B|  50k  726k|   0     0 | 466  1629 |0.19 0.19 0.11| 167M 19.5M  132M 3121M
  1   1  97   0   0   1|   0  4779B|  51k  737k|   0     0 | 368  1686 |0.17 0.18 0.11| 167M 19.6M  132M 3121M
  1   1  97   0   0   1|   0  6827B|  51k  761k|   0     0 | 401  1835 |0.16 0.18 0.11| 169M 19.6M  132M 3118M
  1   1  97   0   0   0|   0  6827B|  50k  722k|   0     0 | 352  1754 |0.15 0.18 0.11| 168M 19.6M  132M 3120M
  1   1  98   0   0   0|   0  2731B|  52k  746k|   0     0 | 416  1846 |0.14 0.17 0.11| 167M 19.6M  132M 3120M
  1   1  96   3   0   0|   0  7509B|  49k  731k|   0     0 | 472  1643 |0.11 0.17 0.11| 167M 19.6M  132M 3120M
  1   1  98   0   0   1|   0  2048B|  52k  746k|   0     0 | 367  1760 |0.10 0.16 0.11| 167M 19.6M  132M 3121M
  1   1  97   0   0   1|   0  2731B|  52k  749k|   0     0 | 329  1758 |0.10 0.16 0.11| 169M 19.6M  132M 3119M
  1   1  98   0   0   1|   0  2048B|  52k  760k|   0     0 | 230  1731 |0.09 0.16 0.11| 167M 19.6M  132M 3121M
  1   0  99   0   0   0|   0  4096B|  22k  292k|   0     0 | 145   741 |0.08 0.16 0.10| 165M 19.6M  132M 3122M
  0   0  99   0   0   0|   0  2731B|1203B  487B|   0     0 |  23    44 |0.07 0.15 0.10| 167M 19.6M  132M 3120M
  7   1  91   0   0   0|   0  7509B| 230k   19k|   0     0 | 185   783 |0.06 0.15 0.10| 167M 19.6M  132M 3121M
  1   1  98   0   0   1|   0  2048B| 725k   55k|   0     0 | 407  1820 |0.06 0.14 0.10| 167M 19.6M  132M 3120M
  1   1  97   0   0   1|   0  2731B| 733k   56k|   0     0 | 390  1815 |0.05 0.14 0.10| 167M 19.7M  132M 3120M
  1   1  98   0   0   1|   0  2048B| 748k   56k|   0     0 | 406  1850 |0.05 0.14 0.10| 167M 19.7M  132M 3120M
  1   1  97   0   0   0|   0  2731B| 740k   56k|   0     0 | 434  1763 |0.04 0.13 0.10| 167M 19.7M  132M 3120M
  1   1  97   1   0   1|   0  9557B| 727k   55k|   0     0 | 388  1779 |0.04 0.13 0.10| 170M 19.7M  132M 3118M
  1   1  97   0   0   1|   0  4096B| 749k   57k|   0     0 | 417  1748 |0.03 0.13 0.10| 167M 19.7M  132M 3120M
  1   1  98   0   0   0|   0  2048B| 743k   56k|   0     0 | 248  1674 |0.03 0.13 0.09| 168M 19.7M  132M 3120M
  1   1  98   0   0   1|   0  2731B| 734k   55k|   0     0 | 225  1641 |0.03 0.12 0.09| 170M 19.7M  132M 3118M
  1   1  98   0   0   1|   0  2048B| 743k   56k|   0     0 | 359  1792 |0.02 0.12 0.09| 168M 19.7M  132M 3120M
  1   1  98   0   0   1|   0  2048B| 498k   38k|   0     0 | 130  1158 |0.02 0.12 0.09| 165M 19.7M  132M 3122M
 11   4  85   0   0   0|   0  4779B|2447B 1413B|   0     0 |  49   212 |0.02 0.12 0.09| 250M 19.7M  132M 3038M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  89   6   0   0| 257k   96M|   0     0 |   0     0 | 164   800 |0.02 0.12 0.09| 165M 19.7M  132M 3123M
  0   0  99   0   0   0|   0  4096B|2405B  985B|   0     0 |  25    53 |0.02 0.11 0.09| 165M 19.7M  132M 3122M
  7   2  91   0   0   0|   0  5461B|  32k  446k|   0     0 | 329  1144 |0.01 0.11 0.09| 167M 19.8M  132M 3120M
  1   1  97   0   0   1|   0  2048B|  50k  748k|   0     0 | 340  1722 |0.01 0.11 0.09| 168M 19.8M  132M 3120M
  1   1  97   1   0   1|   0  6144B|  51k  731k|   0     0 | 372  1806 |0.01 0.11 0.09| 170M 19.8M  132M 3118M
  1   1  97   0   0   1|   0  2048B|  53k  767k|   0     0 | 259  1751 |0.01 0.10 0.09| 171M 19.8M  132M 3116M
  1   1  98   0   0   1|   0    12k|  52k  754k|   0     0 | 382  1815 |0.01 0.10 0.09| 168M 19.8M  132M 3120M
  1   1  97   0   0   1|   0  6827B|  52k  747k|   0     0 | 415  1844 |0.01 0.10 0.09| 169M 19.8M  132M 3118M
  1   1  98   0   0   1|   0  2731B|  51k  751k|   0     0 | 328  1814 |0.01 0.10 0.08| 167M 19.8M  132M 3120M
  1   1  97   0   0   1|   0  2048B|  52k  749k|   0     0 | 160  1698 |0.01 0.09 0.08| 167M 19.8M  132M 3120M
  1   1  97   0   0   1|   0  2048B|  52k  749k|   0     0 | 401  1821 |   0 0.09 0.08| 170M 19.8M  132M 3118M
  1   1  98   0   0   1|   0  2048B|  51k  742k|   0     0 | 366  1756 |   0 0.09 0.08| 169M 19.8M  132M 3118M
  1   0  98   0   0   0|   0  4779B|  21k  296k|   0     0 | 182   777 |   0 0.09 0.08| 165M 19.8M  132M 3122M
  0   0  97   3   0   0|   0  6144B|2405B  974B|   0     0 |  22    40 |   0 0.08 0.08| 165M 19.9M  132M 3122M
  7   2  91   0   0   0|   0  6827B| 246k   20k|   0     0 |  99   757 |   0 0.08 0.08| 167M 19.9M  132M 3120M
  1   1  98   0   0   0|   0  2048B| 737k   56k|   0     0 |  28  1556 |0.16 0.12 0.09| 169M 19.9M  132M 3118M
  1   1  98   0   0   1|   0  2048B| 769k   58k|   0     0 |  26  1605 |0.14 0.11 0.09| 167M 19.9M  132M 3120M
  1   1  98   0   0   0|   0  2731B| 755k   57k|   0     0 | 159  1687 |0.13 0.11 0.09| 169M 19.9M  132M 3118M
  1   1  98   0   0   1|   0  2048B| 755k   57k|   0     0 | 150  1681 |0.12 0.11 0.09| 167M 19.9M  132M 3120M
  0   1  98   0   0   0|   0  7509B| 752k   57k|   0     0 | 278  1711 |0.11 0.11 0.09| 167M 19.9M  132M 3120M
  1   1  98   0   0   1|   0  5461B| 771k   58k|   0     0 | 248  1755 |0.10 0.10 0.09| 169M 19.9M  132M 3118M
  1   1  98   0   0   1|   0  2048B| 748k   57k|   0     0 |  52  1586 |0.08 0.10 0.09| 167M 19.9M  132M 3120M
  1   1  98   0   0   1|   0  2048B| 752k   57k|   0     0 | 297  1759 |0.08 0.10 0.09| 167M 19.9M  132M 3120M
  1   1  98   0   0   0|   0  4096B| 746k   57k|   0     0 | 122  1641 |0.07 0.10 0.09| 169M 19.9M  132M 3118M
  0   1  98   0   0   0|   0  2731B| 504k   38k|   0     0 |  30  1104 |0.06 0.09 0.09| 165M 19.9M  132M 3122M
