
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   1   0   0| 166k  120k|   0     0 |   0     0 |  59   119 |0.23 0.11 0.04| 265M 20.8M  415M 13.0G
  2   0  98   0   0   0|   0  7509B|1081B  876B|   0     0 |  97   314 |0.21 0.11 0.04| 268M 20.8M  415M 13.0G
  1   0  98   0   0   0| 683B 6144B| 646k  644k|   0     0 |1546  2979 |0.17 0.10 0.04| 281M 20.8M  415M 13.0G
  0   0  99   0   0   0| 683B   21k| 789k  789k|   0     0 |1399  3537 |0.16 0.10 0.04| 281M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0  2048B| 765k  766k|   0     0 |1059  3417 |0.15 0.10 0.04| 291M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0    15k| 774k  774k|   0     0 | 893  3390 |0.14 0.10 0.04| 293M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0  4779B| 779k  778k|   0     0 | 948  3428 |0.12 0.10 0.03| 311M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0  2048B| 758k  758k|   0     0 | 707  3477 |0.10 0.09 0.03| 313M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0  2048B| 758k  758k|   0     0 | 673  3318 |0.10 0.09 0.03| 312M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0  6144B| 786k  786k|   0     0 | 640  3469 |0.09 0.09 0.03| 312M 20.8M  415M 13.0G
  0   0  99   0   0   0|   0  6144B| 781k  779k|   0     0 | 908  3389 |0.08 0.09 0.03| 312M 20.8M  415M 13.0G
  0   0 100   0   0   0|   0  2048B| 763k  763k|   0     0 | 640  3462 |0.07 0.08 0.03| 312M 20.8M  415M 13.0G
  6   1  92   1   0   0|  73k   35k|  99k   99k|   0     0 | 395  1362 |0.06 0.08 0.03| 229M 20.8M  416M 13.0G
  9   1  89   0   0   0|  25k   11k|2652B 2634B|   0     0 | 414  1115 |0.22 0.11 0.04| 268M 20.9M  416M 13.0G
  1   0  99   0   0   0|   0    25k| 427k  427k|   0     0 |1063  2164 |0.20 0.11 0.04| 276M 20.9M  416M 13.0G
  1   0  99   0   0   0|   0    13k| 769k  768k|   0     0 |1386  3315 |0.18 0.11 0.04| 282M 20.9M  416M 13.0G
  0   0  99   0   0   0|   0  2048B| 765k  765k|   0     0 |1201  3341 |0.17 0.11 0.04| 283M 20.9M  416M 13.0G
