
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  91   5   0   0| 112k  540k|   0     0 |   0     0 |  21   145 |0.30 0.16 0.11| 187M 18.6M  129M 1331M
  1   1  98   1   0   0|   0  6827B| 279k   19k|   0     0 |  18   300 |0.28 0.16 0.11| 187M 18.6M  129M 1331M
  2   1  97   0   0   0|   0  6827B| 712k   48k|   0     0 |  18   743 |0.26 0.16 0.11| 188M 18.6M  129M 1331M
  1   1  97   0   0   0|   0  2048B| 743k   50k|   0     0 |  18   764 |0.22 0.15 0.11| 188M 18.6M  129M 1331M
  2   1  97   0   0   0|   0  6144B| 717k   48k|   0     0 |  18   724 |0.20 0.15 0.11| 188M 18.6M  129M 1331M
  1   2  97   0   0   0|   0  4096B| 731k   49k|   0     0 |  19   743 |0.18 0.15 0.11| 188M 18.6M  129M 1331M
  1   1  98   1   0   0|   0  2048B| 718k   48k|   0     0 |  18   714 |0.17 0.14 0.11| 188M 18.6M  129M 1331M
  1   2  97   0   0   0|   0  2048B| 713k   48k|   0     0 |  18   701 |0.15 0.14 0.10| 188M 18.6M  129M 1331M
  1   1  97   1   0   0|   0  2048B| 735k   49k|   0     0 |  18   724 |0.13 0.14 0.10| 188M 18.6M  129M 1331M
  1   1  96   1   0   0|   0  2048B| 731k   49k|   0     0 |  18   723 |0.12 0.13 0.10| 188M 18.6M  129M 1331M
  1   2  97   0   0   0|   0  3413B| 724k   48k|   0     0 |  18   735 |0.11 0.13 0.10| 188M 18.6M  129M 1331M
  1   1  98   1   0   0|   0  2731B| 432k   29k|   0     0 |  18   440 |0.10 0.13 0.10| 188M 18.7M  129M 1331M
  1   0  99   0   0   0|   0  2048B|2642B 1096B|   0     0 |  18    47 |0.09 0.13 0.10| 188M 18.7M  129M 1331M
  0   0  99   0   0   0|   0  2048B|7099B   59k|   0     0 |  18   104 |0.08 0.12 0.10| 188M 18.7M  129M 1331M
  1   1  98   0   0   0|   0  2048B|  54k  712k|   0     0 |  18   755 |0.07 0.12 0.10| 188M 18.7M  129M 1330M
  1   1  97   0   0   0|   0  2731B|  56k  722k|   0     0 |  18   739 |0.07 0.12 0.09| 188M 18.7M  129M 1330M
  1   1  98   0   0   0|   0  2731B|  56k  717k|   0     0 |  18   722 |0.06 0.11 0.09| 188M 18.7M  129M 1330M
  1   1  97   1   0   0|   0  2731B|  56k  718k|   0     0 |  18   731 |0.06 0.11 0.09| 188M 18.7M  129M 1330M
  1   1  98   0   0   0|   0  2048B|  55k  729k|   0     0 |  18   714 |0.05 0.11 0.09| 188M 18.7M  129M 1330M
  1   1  97   1   0   0|   0  2048B|  58k  750k|   0     0 |  18   764 |0.04 0.11 0.09| 188M 18.7M  129M 1330M
  1   2  97   0   0   0|   0  2731B|  58k  741k|   0     0 |  18   784 |0.04 0.10 0.09| 188M 18.7M  129M 1330M
  2   1  97   1   0   0|   0  2048B|  57k  733k|   0     0 |  18   740 |0.04 0.10 0.09| 188M 18.7M  129M 1330M
  1   1  89   9   0   0|   0     0 |  58k  739k|   0     0 |  18   761 |0.03 0.10 0.09| 188M 18.7M  129M 1330M
  1   1  96   2   0   0|   0  4779B|  53k  698k|   0     0 |  18   706 |0.03 0.10 0.09| 189M 18.7M  129M 1329M
  1   0  99   0   0   0|   0  2731B|2936B 1325B|   0     0 |  18    46 |0.02 0.10 0.09| 189M 18.8M  129M 1330M

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
