
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   2  89   8   0   0| 284k 1916k|   0     0 |   0     0 |  60   153 |0.34 0.36 0.24| 185M 19.2M  131M 3095M
  0   0 100   0   0   0|   0  4779B|2466B 1008B|   0     0 |  21    51 |0.32 0.35 0.24| 185M 19.2M  131M 3095M
 13   4  82   0   0   0|   0  6827B|3634B 1905B|   0     0 |  54   206 |0.29 0.35 0.24| 194M 19.2M  131M 3085M
  2   1  95   2   0   1|  45k 7509B|  32k  444k|   0     0 | 437  1371 |0.27 0.34 0.24| 189M 19.2M  131M 3091M
  1   1  98   0   0   0|   0  2048B|  34k  499k|   0     0 | 214  1402 |0.25 0.34 0.24| 189M 19.2M  131M 3091M
  1   1  98   0   0   0|   0  3413B|  36k  504k|   0     0 |  97  1414 |0.21 0.32 0.23| 189M 19.2M  131M 3090M
  0   1  98   0   0   0|   0  4096B|  35k  503k|   0     0 | 136  1388 |0.19 0.32 0.23| 189M 19.3M  131M 3091M
  1   1  98   0   0   1|   0  2048B|  35k  493k|   0     0 | 158  1410 |0.17 0.31 0.23| 189M 19.3M  131M 3090M
  1   1  98   0   0   0|   0    14k|  34k  504k|   0     0 | 100  1438 |0.16 0.31 0.23| 189M 19.3M  131M 3090M
  1   1  98   0   0   0|   0  2048B|  36k  508k|   0     0 |  94  1427 |0.15 0.30 0.23| 189M 19.3M  131M 3090M
  1   1  98   0   0   0|   0  2048B|  36k  509k|   0     0 | 107  1421 |0.12 0.29 0.22| 189M 19.3M  131M 3091M
  1   1  98   0   0   1|   0  2731B|  36k  511k|   0     0 |  94  1416 |0.11 0.29 0.22| 189M 19.3M  131M 3090M
  1   1  98   0   0   1|   0  2048B|  36k  505k|   0     0 |  94  1448 |0.10 0.28 0.22| 189M 19.3M  131M 3090M
  1   0  99   0   0   0|   0  4779B|  15k  211k|   0     0 |  64   685 |0.10 0.28 0.22| 185M 19.3M  131M 3094M
  0   0  99   0   0   0|   0  8192B|2405B  974B|   0     0 |  25    40 |0.09 0.27 0.22| 185M 19.3M  131M 3094M
 12   5  83   0   0   0|   0  2731B|3617B 1873B|   0     0 |  58   207 |0.31 0.31 0.23| 192M 19.3M  131M 3087M
  2   1  95   1   0   1|   0  4096B| 461k   36k|   0     0 | 323  1399 |0.29 0.31 0.23| 189M 19.3M  131M 3090M
  1   1  98   0   0   0|   0  2731B| 501k   38k|   0     0 | 190  1409 |0.27 0.30 0.23| 189M 19.3M  131M 3090M
  1   1  98   0   0   0|   0  2048B| 498k   38k|   0     0 | 109  1410 |0.24 0.30 0.23| 189M 19.4M  131M 3090M
  1   1  98   0   0   0|   0  2731B| 511k   39k|   0     0 | 201  1408 |0.22 0.29 0.23| 189M 19.4M  131M 3090M
  1   1  98   0   0   1|   0  5461B| 500k   38k|   0     0 |  84  1440 |0.19 0.28 0.22| 189M 19.4M  131M 3090M
  1   1  98   0   0   0|   0  8192B| 515k   39k|   0     0 |  97  1424 |0.17 0.28 0.22| 189M 19.4M  131M 3090M
  1   1  98   0   0   0|   0  2048B| 515k   39k|   0     0 |  89  1438 |0.16 0.27 0.22| 189M 19.4M  131M 3090M
  1   1  98   0   0   0|   0  2731B| 507k   39k|   0     0 | 270  1382 |0.15 0.27 0.22| 189M 19.4M  131M 3090M
  1   1  98   0   0   0|   0  2048B| 505k   38k|   0     0 | 185  1403 |0.13 0.26 0.22| 189M 19.4M  131M 3090M
  1   0  99   0   0   0|   0  2048B| 529k   40k|   0     0 | 206  1441 |0.11 0.25 0.21| 189M 19.4M  131M 3090M
  0   0  99   0   0   0|   0  2048B| 206k   16k|   0     0 | 128   625 |0.10 0.25 0.21| 185M 19.4M  131M 3094M

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  90   6   0   0| 223k 1499k|   0     0 |   0     0 |  77   365 |0.26 0.28 0.22| 184M 19.4M  131M 3095M
