
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   2   0   0| 560k  461k|   0     0 |   0     0 |  89   168 |0.12 0.14 0.09| 218M 18.9M  292M 13.2G
  4   1  87   8   0   0|1853k   74k| 980B 1175B|   0     0 | 449  1050 |0.19 0.15 0.10| 260M 18.9M  302M 13.1G
  0   0 100   0   0   0| 683B 6144B|  64k   63k|   0     0 | 276   595 |0.18 0.15 0.10| 267M 18.9M  302M 13.1G
  0   0  99   0   0   0|   0    12k| 261k  263k|   0     0 | 686  1541 |0.15 0.15 0.09| 269M 18.9M  302M 13.1G
  0   0  99   0   0   0|   0  2048B| 263k  265k|   0     0 | 611  1568 |0.38 0.19 0.11| 275M 19.0M  302M 13.1G
  0   0 100   0   0   0|   0    11k| 270k  270k|   0     0 | 496  1504 |0.35 0.19 0.11| 274M 19.0M  302M 13.1G
  1   0  99   0   0   0| 683B 2048B| 264k  264k|   0     0 | 469  1495 |0.32 0.19 0.11| 274M 19.0M  302M 13.1G
  0   0  99   0   0   0|   0  2048B| 269k  270k|   0     0 | 451  1511 |0.29 0.18 0.11| 274M 19.0M  302M 13.1G
  0   0 100   0   0   0|   0  2048B| 269k  270k|   0     0 | 413  1461 |0.25 0.18 0.10| 284M 19.0M  302M 13.1G
  0   0 100   0   0   0|   0  3413B| 270k  271k|   0     0 | 409  1460 |0.23 0.17 0.10| 284M 19.0M  302M 13.1G
  0   0 100   0   0   0|   0  5461B| 272k  271k|   0     0 | 412  1479 |0.21 0.17 0.10| 286M 19.0M  302M 13.1G
  0   0 100   0   0   0|   0  2731B| 273k  273k|   0     0 | 414  1476 |0.19 0.17 0.10| 286M 19.0M  302M 13.1G
  0   0 100   0   0   0|   0  2048B| 269k  270k|   0     0 | 407  1455 |0.18 0.16 0.10| 287M 19.0M  302M 13.1G
  7   1  92   0   0   0|  71k   33k|  27k   27k|   0     0 | 367  1040 |0.23 0.18 0.10| 240M 19.0M  303M 13.1G
  9   2  89   0   0   0| 683B   37k|2656B 2822B|   0     0 | 443  1203 |0.29 0.19 0.11| 263M 19.0M  303M 13.1G
  0   0  99   1   0   0|   0    35k|  69k   68k|   0     0 | 221   618 |0.27 0.19 0.11| 270M 19.0M  303M 13.1G
  0   0  99   0   0   0|   0  2048B| 267k  268k|   0     0 | 493  1524 |0.25 0.18 0.11| 272M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 268k  268k|   0     0 | 381  1478 |0.23 0.18 0.11| 275M 19.1M  303M 13.1G
  0   0  99   0   0   0|   0  2048B| 270k  271k|   0     0 | 380  1461 |0.37 0.21 0.12| 275M 19.1M  303M 13.1G
  1   0  99   0   0   0|   0  2048B| 273k  272k|   0     0 | 471  1477 |0.31 0.20 0.11| 274M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  9557B| 270k  270k|   0     0 | 584  1574 |0.29 0.20 0.11| 274M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  2731B| 277k  277k|   0     0 | 597  1599 |0.26 0.20 0.11| 277M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 274k  274k|   0     0 | 568  1581 |0.24 0.19 0.11| 295M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 271k  271k|   0     0 | 544  1576 |0.22 0.19 0.11| 295M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  2048B| 278k  278k|   0     0 | 562  1599 |0.19 0.18 0.11| 302M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  6144B| 282k  282k|   0     0 | 443  1550 |0.17 0.18 0.11| 302M 19.1M  303M 13.1G
  7   1  92   0   0   0|   0    32k|  23k   23k|   0     0 | 334   967 |0.56 0.26 0.13| 241M 19.1M  303M 13.1G

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  97   2   0   0| 451k  361k|   0     0 |   0     0 | 171   437 |0.62 0.28 0.14| 265M 19.1M  303M 13.1G
  2   0  98   0   0   0|   0  3413B| 606B  617B|   0     0 |  82   276 |0.65 0.29 0.15| 266M 19.1M  303M 13.1G
  0   0 100   0   0   0|   0  3413B|  71k   75k|   0     0 | 297   620 |0.60 0.29 0.15| 283M 19.2M  303M 13.1G
  0   0  99   0   0   0|   0  2048B| 263k  277k|   0     0 | 791  1502 |0.55 0.28 0.15| 284M 19.2M  303M 13.1G
  0   0  99   0   0   0|   0  2048B| 263k  278k|   0     0 | 773  1495 |0.51 0.28 0.14| 285M 19.2M  303M 13.1G
