
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   3  82  11   0   0| 274k 1324k|   0     0 |   0     0 |  26   338 |0.20 0.27 0.23| 187M 18.3M  129M 1331M
  1   1  99   1   0   0|   0  5461B|2806B 1188B|   0     0 |  18    56 |0.16 0.26 0.23| 188M 18.3M  129M 1331M
  1   1  98   0   0   0|   0  3413B| 478k   32k|   0     0 |  18   673 |0.15 0.25 0.23| 188M 18.3M  129M 1331M
  1   1  97   1   0   0|   0  2048B| 502k   33k|   0     0 |  18   747 |0.14 0.25 0.22| 188M 18.3M  129M 1331M
  1   1  98   1   0   0|   0  2048B| 507k   34k|   0     0 |  18   753 |0.21 0.26 0.23| 188M 18.3M  129M 1331M
  2   2  96   1   0   0|   0  5461B| 504k   34k|   0     0 |  18   771 |0.19 0.26 0.23| 188M 18.3M  129M 1331M
  1   2  97   0   0   0|   0  4096B| 500k   34k|   0     0 |  18   755 |0.24 0.27 0.23| 188M 18.3M  129M 1331M
  1   2  96   1   0   1|   0  2048B| 508k   34k|   0     0 |  18   757 |0.22 0.26 0.23| 188M 18.3M  129M 1331M
  1   1  98   1   0   0|   0  2048B| 509k   34k|   0     0 |  18   748 |0.20 0.26 0.23| 188M 18.3M  129M 1331M
  1   0  98   0   0   0|   0  2048B| 510k   34k|   0     0 |  18   784 |0.19 0.25 0.23| 188M 18.3M  129M 1331M
  1   1  97   0   0   0|   0  2048B| 514k   35k|   0     0 |  18   782 |0.17 0.25 0.22| 188M 18.4M  129M 1331M
  1   1  98   0   0   0|   0  3413B| 508k   34k|   0     0 |  18   742 |0.15 0.24 0.22| 188M 18.4M  129M 1331M
  0   1  98   0   0   0|   0  2731B| 186k   13k|   0     0 |  18   310 |0.13 0.24 0.22| 188M 18.4M  129M 1331M
  0   0  99   0   0   0|   0  2048B|1389B  586B|   0     0 |  18    37 |0.12 0.23 0.22| 188M 18.4M  129M 1331M
  0   0  99   0   0   0|   0  2048B|2653B 1107B|   0     0 |  18    48 |0.11 0.23 0.22| 188M 18.4M  129M 1331M
  1   1  98   0   0   0|   0  2048B|  41k  487k|   0     0 |  18   781 |0.10 0.22 0.22| 188M 18.4M  129M 1331M
  1   1  98   0   0   0|   0  2731B|  40k  501k|   0     0 |  18   802 |0.09 0.22 0.21| 188M 18.4M  129M 1331M
  1   1  97   1   0   0|   0  2048B|  40k  498k|   0     0 |  18   806 |0.08 0.21 0.21| 188M 18.4M  129M 1330M
  1   1  98   1   0   0|   0  2731B|  42k  508k|   0     0 |  18   813 |0.07 0.21 0.21| 188M 18.4M  129M 1330M
