
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  92   4   0   0| 220k  764k|   0     0 |   0     0 |  82   218 |0.24 0.20 0.20| 222M 36.1M  839M 2333M
  0   0  99   0   0   0|   0  5461B|2405B  974B|   0     0 |  21    57 |0.22 0.19 0.20| 224M 36.1M  839M 2331M
  1   1  98   0   0   0|   0  2731B|2414B 1386B|   0     0 |  38   165 |0.20 0.19 0.19| 237M 36.1M  839M 2318M
 14   5  79   2   0   1|  45k 8875B|  24k  328k|   0     0 | 154  1141 |0.35 0.22 0.20| 229M 36.1M  839M 2325M
  1   1  98   0   0   1|   0  2048B|  32k  452k|   0     0 | 282  1330 |0.29 0.21 0.20| 227M 36.1M  839M 2327M
  0   0  99   0   0   0|   0  2731B|  31k  450k|   0     0 | 284  1308 |0.27 0.21 0.20| 227M 36.1M  839M 2327M
  1   1  98   0   0   0|   0  8192B|  33k  462k|   0     0 | 146  1344 |0.25 0.20 0.20| 227M 36.1M  839M 2327M
  1   0  99   0   0   0|   0  2048B|  33k  461k|   0     0 |  26  1347 |0.23 0.20 0.20| 227M 36.1M  839M 2328M
  1   0  98   0   0   0|   0  2048B|  32k  455k|   0     0 | 218  1376 |0.21 0.20 0.20| 229M 36.1M  839M 2325M
  0   0  98   0   0   1|   0  7509B|  32k  449k|   0     0 | 276  1368 |0.18 0.19 0.19| 227M 36.1M  839M 2327M
  0   1  98   1   0   0|   0  4096B|  31k  455k|   0     0 | 193  1356 |0.16 0.19 0.19| 227M 36.2M  839M 2327M
  0   1  99   0   0   0|   0  2731B|  32k  454k|   0     0 | 268  1312 |0.15 0.18 0.19| 227M 36.2M  839M 2327M
  1   1  98   0   0   0|   0  3413B|  33k  460k|   0     0 | 202  1323 |0.14 0.18 0.19| 227M 36.2M  839M 2327M
  1   1  98   0   0   0|1365B 2731B|  21k  275k|   0     0 |  41   909 |0.12 0.18 0.19| 223M 36.2M  839M 2331M
  0   0  99   0   0   0|   0  6144B|2519B 1228B|   0     0 |  26    69 |0.10 0.17 0.18| 223M 36.2M  839M 2331M
 15   5  80   0   0   0|   0  4096B|  27k 3761B|   0     0 |  60   364 |0.26 0.20 0.19| 228M 36.2M  839M 2326M
  0   1  98   0   0   1|   0  4779B| 452k   35k|   0     0 | 240  1315 |0.24 0.20 0.19| 230M 36.2M  839M 2324M
  1   1  98   0   0   0|   0  2731B| 455k   35k|   0     0 | 326  1325 |0.22 0.19 0.19| 230M 36.2M  839M 2324M
  0   1  98   0   0   0|   0  2048B| 453k   35k|   0     0 | 256  1313 |0.20 0.19 0.19| 228M 36.2M  839M 2326M
  1   1  98   0   0   1|   0    10k| 452k   34k|   0     0 | 256  1327 |0.17 0.18 0.19| 228M 36.2M  839M 2326M
  1   1  98   1   0   0|   0  4779B| 455k   35k|   0     0 | 114  1327 |0.15 0.18 0.18| 228M 36.2M  839M 2326M
  0   0  99   0   0   0|   0  7509B| 456k   35k|   0     0 |  22  1333 |0.14 0.18 0.18| 228M 36.2M  839M 2326M
  1   1  98   0   0   0|   0  2048B| 453k   35k|   0     0 | 164  1330 |0.13 0.17 0.18| 230M 36.3M  839M 2325M
  0   0  99   0   0   0|   0  4096B| 459k   36k|   0     0 | 101  1335 |0.12 0.17 0.18| 229M 36.3M  839M 2325M
  1   0  98   0   0   1|   0  6827B| 461k   35k|   0     0 | 170  1356 |0.10 0.16 0.18| 229M 36.3M  839M 2325M
  1   0  98   0   0   0|   0  4096B| 458k   35k|   0     0 | 149  1361 |0.09 0.16 0.18| 229M 36.3M  839M 2326M
  0   0  99   1   0   0|   0  2048B| 129k   11k|   0     0 |  34   465 |0.08 0.16 0.18| 225M 36.3M  839M 2330M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
