
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  96   2   0   0| 219k 1136k|   0     0 |   0     0 | 210   516 |0.33 0.86 0.69| 308M 72.2M 1012M 12.3G
  4   1  86   9   0   0|1587k   21k|  31k   14k|   0     0 | 405   977 |0.47 0.88 0.70| 351M 72.2M 1021M 12.3G
  0   0  99   0   0   0| 683B  139k| 186k  176k|   0     0 | 539  1158 |0.51 0.88 0.70| 372M 72.2M 1021M 12.3G
  1   0  98   0   0   0|   0    17k| 528k  519k|   0     0 |1319  2828 |0.47 0.87 0.70| 372M 72.2M 1021M 12.3G
  1   0  99   0   0   0|   0  6144B| 532k  523k|   0     0 |1292  2750 |0.40 0.84 0.69| 372M 72.2M 1021M 12.3G
  0   0  99   0   0   0| 683B 6144B| 533k  523k|   0     0 |1209  2816 |0.52 0.86 0.70| 373M 72.2M 1021M 12.3G
  0   0  99   0   0   0|   0  4779B| 521k  513k|   0     0 |1241  2735 |0.48 0.84 0.69| 383M 72.2M 1021M 12.3G
  0   0  99   0   0   0|   0  4096B| 537k  526k|   0     0 |1071  2735 |0.44 0.83 0.69| 381M 72.2M 1021M 12.3G
  0   0  99   0   0   0|   0  9557B| 515k  514k|   0     0 |1049  2749 |0.41 0.82 0.69| 399M 72.3M 1021M 12.2G
  0   0  99   0   0   0|   0  4779B| 508k  514k|   0     0 |1055  2731 |0.34 0.79 0.68| 399M 72.3M 1021M 12.2G
  0   0  99   0   0   0|   0  5461B| 512k  516k|   0     0 |1043  2745 |0.32 0.77 0.67| 400M 72.3M 1021M 12.2G
  0   0  99   0   0   0|   0  4096B| 518k  522k|   0     0 |1037  2786 |0.29 0.76 0.67| 400M 72.3M 1021M 12.2G
  0   0  99   0   0   0|   0  4096B| 501k  505k|   0     0 |1043  2769 |0.27 0.75 0.67| 394M 72.3M 1021M 12.2G
  8   1  90   0   0   0|  71k   69k|  20k   20k|   0     0 | 391  1072 |0.33 0.75 0.67| 292M 72.3M 1022M 12.3G
  9   2  89   0   0   0|   0    93k|5406B 4122B|   0     0 | 515  1321 |0.28 0.73 0.66| 357M 72.3M 1022M 12.3G
  1   0  99   0   0   0|   0    13k| 344k  350k|   0     0 | 954  2074 |0.25 0.72 0.66| 374M 72.3M 1022M 12.3G
  1   0  99   0   0   0|   0  6144B| 491k  497k|   0     0 |1162  2875 |0.23 0.70 0.65| 374M 72.3M 1022M 12.3G
  1   0  99   0   0   0|   0  6144B| 504k  508k|   0     0 |1039  2908 |0.21 0.69 0.65| 372M 72.3M 1022M 12.3G
  0   0  99   0   0   0|   0  6144B| 499k  501k|   0     0 | 917  2950 |0.20 0.68 0.65| 376M 72.3M 1022M 12.3G
  0   0  99   0   0   0|   0  7509B| 505k  508k|   0     0 | 878  3003 |0.17 0.66 0.64| 376M 72.3M 1022M 12.3G
  0   0  99   0   0   0|   0  4096B| 503k  507k|   0     0 | 956  2739 |0.15 0.65 0.63| 376M 72.3M 1022M 12.3G
  0   0  99   0   0   0|   0  4096B| 509k  512k|   0     0 | 846  3063 |0.14 0.64 0.63| 378M 72.3M 1022M 12.3G
  0   0  99   0   0   0|   0  4096B| 512k  514k|   0     0 | 842  3037 |0.13 0.62 0.63| 379M 72.3M 1022M 12.3G
  0   0  99   0   0   0|   0  5461B| 509k  511k|   0     0 | 848  3002 |0.12 0.61 0.62| 380M 72.3M 1022M 12.3G
