
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  4   2  83  11   0   0| 293k 1000k|   0     0 |   0     0 |  23   299 |0.30 0.19 0.22| 194M 23.2M  218M 1231M
  1   0  98   0   0   0|   0  6827B|  88k 6945B|   0     0 |  18   189 |0.27 0.18 0.21| 194M 23.2M  218M 1231M
  1   1  96   1   0   1|   0  2048B| 935k   61k|   0     0 |  18  1382 |0.23 0.18 0.21| 195M 23.2M  218M 1230M
  2   2  94   1   0   1|   0  5461B| 947k   62k|   0     0 |  18  1450 |0.21 0.17 0.21| 195M 23.2M  218M 1230M
  1   2  96   0   0   1|   0  2048B| 946k   62k|   0     0 |  18  1438 |0.20 0.17 0.21| 194M 23.2M  218M 1230M
  2   2  96   1   0   1|   0  2048B| 939k   61k|   0     0 |  18  1411 |0.18 0.17 0.21| 194M 23.2M  218M 1230M
  1   1  96   1   0   1|   0  4096B| 956k   63k|   0     0 |  18  1466 |0.16 0.16 0.21| 194M 23.2M  218M 1230M
  1   2  95   1   0   2|   0  2048B| 950k   62k|   0     0 |  19  1448 |0.14 0.16 0.20| 194M 23.2M  218M 1230M
  1   2  96   0   0   1|   0  2048B| 936k   61k|   0     0 |  18  1443 |0.13 0.16 0.20| 194M 23.2M  218M 1230M
  1   1  96   1   0   1|   0  3413B| 948k   62k|   0     0 |  18  1442 |0.12 0.15 0.20| 194M 23.2M  218M 1230M
  1   1  96   1   0   2|   0  2048B| 946k   62k|   0     0 |  18  1405 |0.11 0.15 0.20| 194M 23.2M  218M 1230M
  1   1  96   1   0   1|   0  2048B| 965k   63k|   0     0 |  18  1532 |0.10 0.15 0.20| 194M 23.3M  218M 1230M
  0   0  99   1   0   0|   0  2731B| 230k   16k|   0     0 |  18   379 |0.08 0.14 0.19| 194M 23.3M  218M 1230M
  1   0  98   1   0   0|   0  2048B|3163B 1378B|   0     0 |  18    56 |0.08 0.14 0.19| 194M 23.3M  218M 1230M
  1   1  97   1   0   0|   0  2048B|  44k  412k|   0     0 |  18   708 |0.07 0.14 0.19| 194M 23.3M  218M 1230M
  1   2  96   1   0   1| 683B 2731B|  84k  899k|   0     0 |  18  1437 |0.06 0.13 0.19| 195M 23.3M  218M 1229M
  1   1  97   1   0   1|   0  2048B|  80k  923k|   0     0 |  18  1454 |0.06 0.13 0.19| 195M 23.3M  218M 1230M
  1   2  95   1   0   2|   0  6827B|  78k  920k|   0     0 |  20  1427 |0.05 0.13 0.19| 195M 23.3M  218M 1230M
  1   1  96   0   0   1|   0  2731B|  80k  923k|   0     0 |  18  1455 |0.05 0.12 0.18| 195M 23.3M  218M 1230M
  1   1  97   1   0   1|   0  2048B|  80k  925k|   0     0 |  18  1432 |0.04 0.12 0.18| 195M 23.3M  218M 1230M
  1   2  95   1   0   1|   0  6827B|  79k  927k|   0     0 |  18  1432 |0.04 0.12 0.18| 195M 23.3M  218M 1229M
  1   1  97   0   0   1|   0  7509B|  80k  934k|   0     0 |  18  1453 |0.03 0.12 0.18| 195M 23.3M  218M 1229M
  1   1  97   0   0   1|   0  2731B|  80k  931k|   0     0 |  18  1460 |0.03 0.11 0.18| 195M 23.3M  218M 1229M
  1   1  97   0   0   1|   0  2048B|  79k  939k|   0     0 |  18  1496 |0.03 0.11 0.18| 195M 23.4M  218M 1230M
  1   1  94   3   0   1|   0  3413B|  77k  824k|   0     0 |  18  1342 |0.10 0.13 0.18| 195M 23.4M  218M 1230M
  1   0  99   0   0   0|   0  2048B|2261B 1146B|   0     0 |  18    41 |0.10 0.12 0.18| 196M 23.4M  218M 1229M

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  85   9   0   0| 247k  843k|   0     0 |   0     0 |  23   433 |0.15 0.14 0.18| 195M 23.4M  218M 1229M
  1   0  99   0   0   0|   0  3413B|  98k 7734B|   0     0 |  18   175 |0.13 0.13 0.18| 195M 23.4M  218M 1229M
  2   1  95   1   0   2|   0  6144B| 961k   61k|   0     0 |  18  1439 |0.12 0.13 0.18| 195M 23.4M  218M 1229M
  1   1  96   1   0   2|   0  5461B| 966k   61k|   0     0 |  18  1433 |0.11 0.13 0.18| 196M 23.4M  218M 1229M
  1   1  95   0   0   2|1365B 6827B| 951k   60k|   0     0 |  18  1403 |0.10 0.12 0.18| 196M 23.4M  218M 1229M
  1   1  96   0   0   2|   0  6144B| 968k   61k|   0     0 |  18  1433 |0.09 0.12 0.18| 196M 23.4M  218M 1229M
  1   1  96   1   0   2|   0    10k| 969k   61k|   0     0 |  18  1412 |0.16 0.13 0.18| 195M 23.4M  218M 1229M
  1   1  95   1   0   2|   0  2731B| 973k   61k|   0     0 |  18  1446 |0.15 0.13 0.18| 195M 23.4M  218M 1229M
  1   1  95   1   0   2|   0  2048B| 981k   61k|   0     0 |  18  1434 |0.13 0.13 0.18| 196M 23.4M  218M 1229M
  1   2  94   1   0   2|   0  2731B| 972k   61k|   0     0 |  18  1448 |0.12 0.13 0.18| 195M 23.5M  218M 1229M
  1   1  96   1   0   1|   0  3413B| 984k   62k|   0     0 |  18  1453 |0.19 0.14 0.18| 195M 23.5M  218M 1229M
  1   1  96   0   0   1|   0  2048B| 982k   62k|   0     0 |  18  1456 |0.16 0.14 0.18| 195M 23.5M  218M 1229M
  1   1  98   1   0   1|   0  2731B| 226k   15k|   0     0 |  18   368 |0.15 0.13 0.18| 196M 23.5M  218M 1229M
  0   1  98   1   0   0|   0  2048B|2696B 1277B|   0     0 |  18    69 |0.14 0.13 0.18| 196M 23.5M  218M 1229M
  1   1  97   1   0   1|   0  2048B|  57k  414k|   0     0 |  18   661 |0.13 0.13 0.18| 196M 23.5M  218M 1229M
  1   1  96   1   0   2|   0  2731B| 122k  910k|   0     0 |  18  1408 |0.12 0.13 0.18| 196M 23.5M  218M 1229M
  1   2  95   1   0   2|   0  2048B| 123k  914k|   0     0 |  18  1442 |0.10 0.12 0.17| 195M 23.5M  218M 1229M
  1   1  95   0   0   2|   0  2048B| 124k  923k|   0     0 |  18  1440 |0.09 0.12 0.17| 195M 23.5M  218M 1229M
  1   2  95   1   0   2|   0  2048B| 125k  941k|   0     0 |  18  1462 |0.08 0.12 0.17| 196M 23.5M  218M 1229M
  1   1  95   0   0   2|   0  2048B| 126k  936k|   0     0 |  18  1498 |0.08 0.11 0.17| 195M 23.5M  218M 1229M
  1   1  96   1   0   2|   0  2048B| 127k  946k|   0     0 |  18  1495 |0.07 0.11 0.17| 196M 23.5M  218M 1229M
  1   1  95   0   0   3|   0  2731B| 127k  942k|   0     0 |  18  1468 |0.06 0.11 0.17| 196M 23.5M  218M 1229M
  1   1  95   1   0   2|   0  2048B| 126k  942k|   0     0 |  18  1472 |0.05 0.11 0.17| 195M 23.6M  218M 1229M
  1   2  95   0   0   3|   0  2048B| 126k  937k|   0     0 |  18  1468 |0.05 0.10 0.17| 195M 23.6M  218M 1229M
  1   1  95   1   0   2|   0  2048B| 105k  777k|   0     0 |  18  1250 |0.04 0.10 0.17| 195M 23.6M  218M 1229M
  6   1  93   0   0   0|   0  2731B|4452B 2155B|   0     0 |  18   125 |0.04 0.10 0.16| 209M 23.6M  218M 1215M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  86   8   0   0| 213k  729k|   0     0 |   0     0 |  22   531 |0.11 0.11 0.17| 196M 23.6M  218M 1228M
  1   0  98   1   0   0|   0  4096B| 120k 9856B|   0     0 |  18   223 |0.10 0.11 0.17| 196M 23.6M  218M 1228M
  2   1  96   0   0   1|   0  2048B| 953k   60k|   0     0 |  18  1404 |0.08 0.11 0.17| 196M 23.6M  218M 1228M
  1   1  95   0   0   2|   0  3413B| 981k   62k|   0     0 |  18  1472 |0.08 0.11 0.16| 196M 23.6M  218M 1228M
  1   1  91   5   0   2|   0  6827B| 978k   62k|   0     0 |  18  1433 |0.07 0.10 0.16| 196M 23.6M  218M 1228M
  1   1  96   0   0   2|   0  2048B| 997k   62k|   0     0 |  18  1467 |0.06 0.10 0.16| 196M 23.6M  218M 1228M
  1   2  95   0   0   2|   0  2048B|1002k   63k|   0     0 |  18  1463 |0.06 0.10 0.16| 196M 23.6M  218M 1228M
  2   1  94   1   0   2|   0  2731B|1008k   64k|   0     0 |  18  1453 |0.05 0.10 0.16| 196M 23.6M  218M 1228M
  1   1  95   0   0   2|   0  2048B| 991k   62k|   0     0 |  18  1423 |0.05 0.09 0.16| 196M 23.6M  218M 1228M
  1   2  95   1   0   2|   0  5461B|1004k   63k|   0     0 |  18  1460 |0.04 0.09 0.16| 196M 23.7M  218M 1228M
  1   1  96   0   0   2|   0  2048B|1024k   65k|   0     0 |  18  1543 |0.04 0.09 0.16| 196M 23.7M  218M 1228M
  1   1  96   1   0   2|   0  2048B|1042k   66k|   0     0 |  18  1579 |0.03 0.09 0.16| 196M 23.7M  218M 1228M
  1   1  98   0   0   0|   0  2048B| 205k   15k|   0     0 |  18   349 |0.03 0.09 0.15| 196M 23.7M  218M 1228M
  0   0  99   0   0   0|   0  4779B|5392B 2553B|   0     0 |  18   106 |0.03 0.08 0.15| 196M 23.7M  218M 1228M
  1   1  97   1   0   1|   0  2048B|  55k  405k|   0     0 |  18   667 |0.02 0.08 0.15| 196M 23.7M  218M 1228M
  1   1  97   0   0   1|   0  3413B| 120k  892k|   0     0 |  18  1412 |0.02 0.08 0.15| 196M 23.7M  218M 1228M
  1   1  96   0   0   2|   0  2048B| 120k  893k|   0     0 |  18  1391 |0.02 0.08 0.15| 196M 23.7M  218M 1228M
  1   1  96   1   0   1|   0  2048B| 125k  939k|   0     0 |  18  1488 |0.02 0.08 0.15| 196M 23.7M  218M 1228M
  0   2  97   0   0   1|   0  2048B| 124k  924k|   0     0 |  18  1403 |0.02 0.08 0.15| 196M 23.7M  218M 1228M
  1   1  97   0   0   2|   0  2731B| 126k  941k|   0     0 |  18  1490 |0.01 0.07 0.15| 196M 23.7M  218M 1228M
  1   1  97   1   0   1|   0  2048B| 126k  939k|   0     0 |  18  1510 |0.01 0.07 0.15| 196M 23.7M  218M 1228M
  1   1  97   0   0   1|   0  2048B| 128k  955k|   0     0 |  18  1499 |0.01 0.07 0.14| 196M 23.8M  218M 1228M
  0   1  96   1   0   1|   0  2048B| 126k  948k|   0     0 |  18  1499 |0.01 0.07 0.14| 196M 23.8M  218M 1228M
  1   1  96   0   0   2|   0  2048B| 125k  929k|   0     0 |  18  1474 |0.01 0.07 0.14| 196M 23.8M  218M 1228M
  1   2  96   1   0   1|   0  2048B| 111k  822k|   0     0 |  18  1323 |0.01 0.06 0.14| 196M 23.8M  218M 1228M
  1   0  99   1   0   0|   0  2731B|5221B 2382B|   0     0 |  18    46 |0.01 0.06 0.14| 196M 23.8M  218M 1228M

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  87   7   0   1| 188k  642k|   0     0 |   0     0 |  22   607 |0.08 0.08 0.14| 196M 23.8M  218M 1228M
  1   1  98   0   0   0|   0  3413B| 604k   41k|   0     0 |  18   473 |0.07 0.07 0.14| 196M 23.8M  218M 1228M
  2   2  95   0   0   0|   0  2048B|3708k  245k|   0     0 |  18  2546 |0.06 0.07 0.14| 196M 23.8M  218M 1228M
  2   3  95   0   0   0|   0  2048B|3840k  254k|   0     0 |  18  2763 |0.06 0.07 0.14| 196M 23.8M  218M 1228M
  2   3  95   0   0   0|   0  4096B|3887k  257k|   0     0 |  18  2662 |0.05 0.07 0.14| 196M 23.8M  218M 1228M
  2   2  94   0   0   1|   0  2048B|3870k  256k|   0     0 |  18  2724 |0.05 0.07 0.14| 196M 23.8M  218M 1228M
  3   2  95   0   0   0|   0  4096B|3842k  254k|   0     0 |  18  2704 |0.04 0.07 0.14| 196M 23.8M  218M 1228M
  2   3  94   0   0   0|   0  2048B|3933k  260k|   0     0 |  18  2705 |0.04 0.06 0.13| 196M 23.8M  218M 1228M
  3   2  95   0   0   0|   0  2048B|3889k  257k|   0     0 |  18  2662 |0.03 0.06 0.13| 196M 23.9M  218M 1228M
  2   3  94   0   0   0|   0  2048B|3909k  258k|   0     0 |  18  2584 |0.03 0.06 0.13| 196M 23.9M  218M 1228M
  3   3  93   0   0   0|   0  2731B|3844k  254k|   0     0 |  18  2708 |0.03 0.06 0.13| 196M 23.9M  218M 1228M
  2   3  95   0   0   0|   0  2048B|3874k  256k|   0     0 |  18  2647 |0.02 0.06 0.13| 196M 23.9M  218M 1228M
  0   1  98   0   0   0|   0  2048B| 599k   40k|   0     0 |  18   457 |0.02 0.06 0.13| 196M 23.9M  218M 1228M
  1   0  99   0   0   0|   0  2048B|3233B 1412B|   0     0 |  18    54 |0.02 0.06 0.13| 196M 23.9M  218M 1228M
  1   1  98   0   0   0|   0  2048B|  97k 1261k|   0     0 |  18  1034 |0.02 0.05 0.13| 196M 23.9M  218M 1228M
  2   2  95   0   0   0|   0  2048B| 284k 3768k|   0     0 |  18  2776 |0.02 0.05 0.13| 196M 23.9M  218M 1228M
  2   3  95   0   0   0|   0  2731B| 288k 3841k|   0     0 |  18  2836 |0.01 0.05 0.12| 196M 23.9M  218M 1228M
  1   3  96   0   0   0|   0  2048B| 293k 3889k|   0     0 |  18  2749 |0.01 0.05 0.12| 196M 23.9M  218M 1228M
  1   3  95   0   0   0|   0  2048B| 294k 3908k|   0     0 |  18  2803 |0.01 0.05 0.12| 196M 23.9M  218M 1228M
  2   2  93   2   0   1|   0  2048B| 290k 3849k|   0     0 |  18  2766 |0.01 0.05 0.12| 196M 23.9M  218M 1228M
  2   3  94   0   0   0|   0  2048B| 294k 3914k|   0     0 |  18  2841 |0.01 0.05 0.12| 196M 23.9M  218M 1228M
  1   3  96   0   0   0|   0  2048B| 293k 3911k|   0     0 |  18  2821 |0.01 0.05 0.12| 196M 24.0M  218M 1228M
  1   2  96   0   0   0|   0  4779B| 289k 3839k|   0     0 |  18  2684 |0.01 0.04 0.12| 196M 24.0M  218M 1228M
  2   2  95   0   0   0|   0  2048B| 294k 3914k|   0     0 |  18  2991 |   0 0.04 0.12| 196M 24.0M  218M 1228M
  1   3  95   0   0   0|   0  2048B| 275k 3652k|   0     0 |  18  2694 |   0 0.04 0.12| 196M 24.0M  218M 1228M
  1   1  98   1   0   0|   0  3413B|  17k  181k|   0     0 |  18   187 |   0 0.04 0.11| 196M 24.0M  218M 1228M

------------------------------------------------------------------------
#client=4 #workers=32 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   2  88   7   0   0| 168k  574k|   0     0 |   0     0 |  21   772 |0.08 0.06 0.12| 196M 24.0M  218M 1228M
  0   1  98   1   0   0|   0  4096B| 556k   37k|   0     0 |  18   502 |0.08 0.06 0.12| 196M 24.0M  218M 1228M
  2   3  94   0   0   1|   0  2048B|3783k  250k|   0     0 |  18  2827 |0.07 0.05 0.12| 196M 24.0M  218M 1228M
  2   2  95   0   0   1|   0  2048B|3908k  258k|   0     0 |  18  3000 |0.06 0.05 0.11| 196M 24.0M  218M 1227M
  3   3  94   0   0   1|   0  3413B|3924k  259k|   0     0 |  18  3178 |0.06 0.05 0.11| 196M 24.0M  218M 1228M
  2   2  95   1   0   1|   0  6827B|3895k  257k|   0     0 |  18  2930 |0.05 0.05 0.11| 196M 24.0M  218M 1228M
  2   3  94   1   0   0|   0  2048B|3926k  259k|   0     0 |  18  3184 |0.04 0.05 0.11| 196M 24.0M  218M 1228M
  2   3  93   0   0   1|   0  2731B|3990k  264k|   0     0 |  18  3523 |0.04 0.05 0.11| 196M 24.0M  218M 1228M
  2   3  94   0   0   1|   0  2048B|3993k  264k|   0     0 |  18  3369 |0.04 0.05 0.11| 197M 24.1M  218M 1227M
  2   3  95   0   0   1|   0  2048B|3907k  257k|   0     0 |  18  3069 |0.03 0.05 0.11| 197M 24.1M  218M 1227M
  2   3  95   0   0   1|   0  4779B|3869k  256k|   0     0 |  18  3132 |0.03 0.05 0.11| 196M 24.1M  218M 1228M
  2   3  94   0   0   1|   0  2048B|3899k  258k|   0     0 |  18  3162 |0.11 0.06 0.11| 197M 24.1M  218M 1227M
  1   1  98   0   0   0|   0  2048B| 655k   44k|   0     0 |  18   570 |0.10 0.06 0.11| 196M 24.1M  218M 1227M
  0   0  99   0   0   0|   0  2731B|3899B 1764B|   0     0 |  18    74 |0.09 0.06 0.11| 196M 24.1M  218M 1227M
