
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  96   2   0   0|  88k  338k|   0     0 |   0     0 |  97   261 |0.16 0.10 0.03| 187M 19.8M  290M 2933M
  0   0  99   1   0   0|   0  6827B|1213B  496B|   0     0 |  22    38 |0.14 0.09 0.03| 187M 19.8M  290M 2933M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  27    51 |0.13 0.09 0.03| 188M 19.8M  290M 2933M
 16   5  79   0   0   0|   0  8875B|  34k  464k|   0     0 | 267  1250 |0.12 0.09 0.03| 193M 19.9M  290M 2928M
  1   1  96   0   0   1|   0  2048B| 111k 1650k|   0     0 | 760  3559 |0.11 0.09 0.03| 193M 19.9M  290M 2927M
  1   2  96   0   0   1|   0    13k| 119k 1788k|   0     0 | 881  3811 |0.09 0.08 0.03| 193M 19.9M  290M 2928M
  2   2  95   0   0   1|   0  4096B| 120k 1789k|   0     0 | 946  3806 |0.17 0.10 0.04| 193M 19.9M  290M 2927M
  2   1  95   0   0   1|   0  2048B| 124k 1841k|   0     0 | 729  3898 |0.15 0.10 0.04| 193M 19.9M  290M 2928M
  1   1  96   0   0   1|   0  2048B| 122k 1812k|   0     0 | 939  3831 |0.22 0.11 0.04| 192M 19.9M  290M 2928M
  1   2  95   0   0   1|   0    13k| 123k 1831k|   0     0 | 415  3899 |0.20 0.11 0.04| 192M 19.9M  290M 2928M
 10   4  84   0   0   1|   0  2731B| 114k 1701k|   0     0 | 894  3817 |0.17 0.11 0.04| 196M 19.9M  290M 2924M
  2   2  94   0   0   2|   0  8875B| 136k 2021k|   0     0 | 277  4193 |0.16 0.11 0.04| 197M 19.9M  290M 2923M
  2   2  95   0   0   1|   0  2048B| 130k 1939k|   0     0 | 618  4095 |0.14 0.10 0.04| 197M 19.9M  290M 2924M
  1   1  96   0   0   1|   0  2048B|  90k 1343k|   0     0 | 313  2877 |0.13 0.10 0.04| 192M 19.9M  290M 2928M
  0   0 100   0   0   0|   0  2731B|2439B  997B|   0     0 |  23    47 |0.12 0.10 0.04| 192M 19.9M  290M 2928M
  0   0  99   0   0   0|   0    11k|2499B 1034B|   0     0 |  24    49 |0.10 0.10 0.04| 192M 20.0M  290M 2928M
  1   0  99   0   0   0|   0  2048B|3611B 1899B|   0     0 |  39   116 |0.09 0.09 0.04| 197M 20.0M  290M 2924M
 16   5  78   0   0   1|   0  6144B|1032k   78k|   0     0 | 546  2445 |0.17 0.11 0.04| 197M 20.0M  290M 2923M
  2   1  95   0   0   2|   0  2731B|1701k  127k|   0     0 | 492  3657 |0.23 0.12 0.05| 199M 20.0M  290M 2921M
  1   1  96   0   0   1|   0  6827B|1533k  115k|   0     0 | 609  3356 |0.21 0.12 0.05| 197M 20.0M  290M 2923M
