
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0 100   0   0   0|  44k  906B|   0     0 |   0     0 |  31    53 |0.25 0.06 0.02| 248M 18.4M  144M 13.3G
  0   0 100   0   0   0| 120k  171k| 506B  801B|   0     0 |  57   177 |0.23 0.06 0.02| 254M 18.4M  144M 13.3G
  2   1  97   0   0   0| 683B   13k| 111k  110k|   0     0 | 413  1094 |0.21 0.06 0.02| 264M 18.4M  144M 13.3G
  2   1  97   0   0   0|   0  2048B| 771k  772k|   0     0 |1859  4436 |0.19 0.05 0.01| 271M 18.4M  144M 13.3G
  1   0  98   0   0   0| 683B 2048B| 847k  847k|   0     0 |2159  4717 |0.17 0.05 0.01| 281M 18.5M  144M 13.3G
  0   0  99   0   0   0|   0    11k| 894k  894k|   0     0 |1937  5110 |0.15 0.05 0.01| 283M 18.5M  144M 13.3G
  0   1  99   0   0   0|   0  4096B| 893k  893k|   0     0 |1369  5268 |0.14 0.05 0.01| 301M 18.5M  144M 13.2G
  1   1  99   0   0   0|   0  6144B| 896k  895k|   0     0 |2043  4913 |0.12 0.05 0.01| 301M 18.5M  144M 13.2G
  0   1  99   0   0   0|   0  6144B| 873k  873k|   0     0 |2150  4557 |0.11 0.05 0.01| 301M 18.5M  144M 13.2G
  1   1  99   0   0   0|   0  2048B| 853k  853k|   0     0 |1738  4625 |0.10 0.05 0.01| 301M 18.5M  144M 13.2G
  0   1  99   0   0   0|   0  5461B| 964k  964k|   0     0 |1177  5428 |0.09 0.05 0.01| 301M 18.5M  144M 13.2G
  0   1  99   0   0   0|   0  2048B| 950k  949k|   0     0 |1175  5364 |0.08 0.04 0.01| 317M 18.5M  144M 13.2G
  0   0  99   0   0   0|   0  2731B| 780k  781k|   0     0 | 982  4422 |0.07 0.04 0.01| 328M 18.5M  144M 13.2G
  7   1  91   0   0   0|  71k   36k|2097B 2004B|   0     0 | 273   839 |0.07 0.04 0.01| 205M 18.5M  145M 13.3G
  8   1  91   0   0   0|  25k   37k|1340B 1484B|   0     0 | 356   955 |0.14 0.06 0.01| 252M 18.5M  145M 13.3G
  2   0  97   0   0   0|   0    27k|2917B 1664B|   0     0 |  97   343 |0.12 0.06 0.01| 254M 18.5M  145M 13.3G
  1   0  99   0   0   0|   0  2731B| 359k  359k|   0     0 | 976  2142 |0.11 0.06 0.01| 263M 18.6M  145M 13.3G
  1   1  98   0   0   0|   0  2048B| 867k  868k|   0     0 |1569  4701 |0.26 0.09 0.02| 268M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0  2048B| 867k  867k|   0     0 |1123  4673 |0.24 0.09 0.02| 269M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0    10k| 869k  868k|   0     0 |1008  4680 |0.22 0.08 0.02| 269M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0    11k| 857k  857k|   0     0 | 972  4617 |0.19 0.08 0.02| 270M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0  6827B| 878k  878k|   0     0 | 986  4736 |0.17 0.08 0.02| 278M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0  2048B| 888k  888k|   0     0 | 996  4753 |0.16 0.08 0.02| 280M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0  2048B| 926k  926k|   0     0 | 953  4927 |0.14 0.08 0.02| 282M 18.6M  145M 13.3G
  1   1  99   0   0   0|   0  5461B| 880k  879k|   0     0 | 723  4742 |0.13 0.08 0.02| 282M 18.6M  145M 13.3G
  0   1  99   0   0   0|   0  2048B| 883k  883k|   0     0 | 677  4756 |0.19 0.09 0.02| 284M 18.6M  145M 13.3G
  2   1  97   0   0   0|   0  6827B| 459k  459k|   0     0 | 423  2692 |0.17 0.09 0.02| 287M 18.6M  145M 13.3G
  7   1  91   0   0   0|   0    36k|2328B 2556B|   0     0 | 279   890 |0.16 0.09 0.02| 201M 18.6M  145M 13.3G

------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0 100   0   0   0|  43k 1578B|   0     0 |   0     0 |  72   200 |0.36 0.13 0.04| 256M 18.6M  145M 13.3G
  1   0  99   0   0   0|   0  3413B| 737B  478B|   0     0 |  55   204 |0.33 0.13 0.04| 281M 18.7M  145M 13.3G
  2   0  98   0   0   0|   0  3413B| 232k  233k|   0     0 | 710  1556 |0.35 0.14 0.04| 276M 18.7M  145M 13.3G
  1   1  98   0   0   0|   0  2048B| 783k  783k|   0     0 |1815  4161 |0.41 0.16 0.05| 279M 18.7M  145M 13.3G
  1   1  98   0   0   0|   0    10k| 801k  803k|   0     0 |1482  4238 |0.37 0.15 0.05| 282M 18.7M  145M 13.3G
  0   0  99   0   0   0|   0    19k| 871k  871k|   0     0 |1507  4542 |0.34 0.15 0.05| 284M 18.7M  145M 13.3G
  1   1  99   0   0   0|   0  4096B| 964k  965k|   0     0 |1614  5156 |0.31 0.15 0.05| 303M 18.7M  145M 13.2G
  0   1  99   0   0   0|   0  2048B| 959k  958k|   0     0 |1567  5202 |0.27 0.14 0.05| 303M 18.7M  145M 13.2G
  1   1  99   0   0   0|   0  2048B| 933k  933k|   0     0 |2329  4860 |0.24 0.14 0.05| 303M 18.7M  145M 13.2G
  1   1  99   0   0   0|   0  2048B|1027k 1027k|   0     0 |2418  5399 |0.22 0.14 0.05| 303M 18.7M  145M 13.2G
  0   1  99   0   0   0|   0  8192B|1029k 1029k|   0     0 |1642  5585 |0.21 0.14 0.05| 303M 18.7M  145M 13.2G
  0   1  99   0   0   0|   0  4096B| 973k  974k|   0     0 |1518  5280 |0.19 0.13 0.04| 303M 18.7M  145M 13.2G
  0   0  99   0   0   0|   0  2048B| 601k  600k|   0     0 |1287  3303 |0.16 0.13 0.04| 303M 18.7M  145M 13.2G
  2   0  97   0   0   0|   0  3413B| 617B  491B|   0     0 |  64   218 |0.15 0.13 0.04| 305M 18.7M  145M 13.2G
  8   1  91   0   0   0|   0    57k|2113B 2504B|   0     0 | 314   845 |0.13 0.12 0.04| 202M 18.8M  146M 13.3G
  6   1  93   0   0   0| 683B  103k|1302B 1617B|   0     0 | 373   893 |0.20 0.14 0.05| 254M 18.8M  146M 13.3G
  2   0  97   0   0   0|   0    23k|2929B 1686B|   0     0 | 108   339 |0.19 0.14 0.05| 256M 18.8M  146M 13.3G
  1   1  98   0   0   0|   0  2048B| 663k  664k|   0     0 |1818  3616 |0.16 0.13 0.05| 278M 18.8M  146M 13.3G
  1   1  98   0   0   0|   0  2048B| 803k  804k|   0     0 |2087  4190 |0.23 0.15 0.05| 278M 18.8M  146M 13.3G
  0   1  99   0   0   0|   0  2048B| 898k  898k|   0     0 |2308  4644 |0.29 0.16 0.06| 278M 18.8M  146M 13.3G
  0   1  99   0   0   0|   0  2048B| 897k  896k|   0     0 |2212  4635 |0.26 0.16 0.06| 280M 18.8M  146M 13.3G
  0   0  99   0   0   0|   0  6827B| 769k  770k|   0     0 |1857  3986 |0.24 0.15 0.06| 280M 18.8M  146M 13.3G
  0   1  99   0   0   0|   0  5461B| 801k  802k|   0     0 |1929  4156 |0.21 0.15 0.06| 285M 18.8M  146M 13.3G
  0   1  99   0   0   0|   0  2048B| 809k  809k|   0     0 |1926  4186 |0.19 0.15 0.06| 285M 18.8M  146M 13.3G
  0   1  99   0   0   0|   0  2048B| 880k  879k|   0     0 |1476  4566 |0.17 0.14 0.05| 303M 18.8M  146M 13.2G
  0   1  99   0   0   0|   0  2048B| 983k  983k|   0     0 |1550  5069 |0.24 0.16 0.06| 309M 18.8M  146M 13.2G
  0   1  99   0   0   0|   0  4096B| 970k  970k|   0     0 |1464  5009 |0.22 0.16 0.06| 311M 18.9M  146M 13.2G
  6   1  94   0   0   0|   0    45k| 151k  151k|   0     0 | 395  1304 |0.19 0.15 0.06| 200M 18.9M  146M 13.3G
  4   1  95   0   0   0|   0    15k|1123B 1082B|   0     0 | 141   426 |0.25 0.16 0.06| 201M 18.9M  146M 13.3G

------------------------------------------------------------------------
#client=1 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|  41k 2131B|   0     0 |   0     0 | 123   331 |0.44 0.21 0.08| 267M 18.9M  146M 13.3G
  0   0 100   0   0   0|   0  3413B| 593B  449B|   0     0 |  51   160 |0.53 0.23 0.09| 275M 18.9M  146M 13.3G
  3   1  97   0   0   0|   0  3413B| 134k  141k|   0     0 | 498  1142 |0.49 0.23 0.09| 305M 18.9M  146M 13.2G
  2   1  98   0   0   0|   0  2048B| 832k  875k|   0     0 |2147  4417 |0.45 0.23 0.09| 307M 18.9M  146M 13.2G
  2   1  98   0   0   0|   0    19k| 930k  962k|   0     0 |1894  4969 |0.41 0.22 0.09| 307M 18.9M  146M 13.2G
  0   1  99   0   0   0|   0  2731B| 978k 1006k|   0     0 |1934  5150 |0.38 0.22 0.09| 307M 18.9M  146M 13.2G
  0   1  99   0   0   0|   0  4779B| 956k  986k|   0     0 |1890  5036 |0.32 0.21 0.09| 307M 18.9M  146M 13.2G
  0   1  99   0   0   0|   0  2048B| 934k  971k|   0     0 |1843  4930 |0.30 0.21 0.09| 308M 18.9M  146M 13.2G
  0   1  99   0   0   0|   0  2048B| 925k  962k|   0     0 |1825  4875 |0.35 0.22 0.09| 308M 18.9M  146M 13.2G
  0   1  99   0   0   0|   0  4096B| 902k  941k|   0     0 |1759  4778 |0.32 0.22 0.09| 316M 19.0M  146M 13.2G
  0   1  99   0   0   0|   0  5461B| 874k  919k|   0     0 |1693  4613 |0.30 0.21 0.09| 316M 19.0M  146M 13.2G
  0   1  99   0   0   0|   0  2048B| 908k  951k|   0     0 |1718  4784 |0.25 0.20 0.09| 316M 19.0M  146M 13.2G
  0   0  99   0   0   0|   0  2731B| 719k  754k|   0     0 |1368  3832 |0.23 0.20 0.09| 316M 19.0M  146M 13.2G
  9   1  90   0   0   0|   0    91k|2340B 2506B|   0     0 | 336   877 |0.29 0.21 0.09| 206M 19.0M  146M 13.3G
  8   1  91   0   0   0|   0    89k|1059B  998B|   0     0 | 323   836 |0.35 0.23 0.10| 247M 19.0M  146M 13.3G
  2   1  97   0   0   0|   0    97k|1420B 2356B|   0     0 | 171   516 |0.32 0.22 0.10| 266M 19.0M  146M 13.3G
  1   0  98   0   0   0|   0    14k| 380k  398k|   0     0 |1017  2298 |0.27 0.22 0.10| 305M 19.0M  146M 13.2G
  1   1  97   0   0   0|   0  8875B| 917k  945k|   0     0 |2182  5283 |0.25 0.21 0.10| 307M 19.0M  146M 13.2G
  1   1  99   0   0   0|   0  8192B| 999k 1015k|   0     0 |2344  5800 |0.23 0.21 0.09| 307M 19.0M  146M 13.2G
  0   1  99   0   0   0|   0  4779B| 847k  882k|   0     0 |1921  4936 |0.21 0.20 0.09| 307M 19.0M  146M 13.2G
