
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   2  94   2   0   0|  44k  211k|   0     0 |   0     0 |  19  2918 |0.35 0.17 0.12| 190M 18.9M  129M 1328M
  0   0  99   1   0   0|   0  6827B|1217B  501B|   0     0 |  18    33 |0.32 0.16 0.11| 190M 18.9M  129M 1327M
  1   1  98   0   0   0|   0  4779B| 919k   62k|   0     0 |  18  1602 |0.29 0.16 0.11| 190M 18.9M  129M 1327M
  2   2  95   0   0   0|   0  8192B|1689k  112k|   0     0 |  18  2765 |0.27 0.16 0.11| 190M 18.9M  129M 1327M
  2   2  95   1   0   0|   0  2048B|1821k  121k|   0     0 |  18  2885 |0.25 0.16 0.11| 190M 18.9M  129M 1327M
  1   2  96   0   0   0|   0  2048B|1756k  116k|   0     0 |  18  2692 |0.36 0.18 0.12| 190M 18.9M  129M 1327M
  2   2  96   0   0   0|   0  4096B|1885k  125k|   0     0 |  18  2996 |0.33 0.18 0.12| 190M 18.9M  129M 1327M
  2   2  96   0   0   0|   0  2048B|1815k  120k|   0     0 |  18  2914 |0.30 0.18 0.12| 190M 18.9M  129M 1327M
  2   3  95   0   0   0|   0  2048B|1822k  121k|   0     0 |  18  2965 |0.28 0.17 0.12| 190M 18.9M  129M 1327M
  2   2  95   0   0   0|   0  3413B|1748k  116k|   0     0 |  18  2813 |0.25 0.17 0.12| 190M 19.0M  129M 1327M
  2   3  94   0   0   1|   0  2048B|2022k  134k|   0     0 |  18  3262 |0.30 0.18 0.12| 190M 19.0M  129M 1327M
  2   3  94   0   0   0|   0  2048B|1928k  128k|   0     0 |  18  3081 |0.35 0.20 0.13| 190M 19.0M  129M 1327M
  1   1  97   0   0   0|   0  2731B| 785k   53k|   0     0 |  18  1314 |0.32 0.19 0.12| 190M 19.0M  129M 1327M
  0   0  99   1   0   0|   0  2048B|2757B 1150B|   0     0 |  18    38 |0.30 0.19 0.12| 190M 19.0M  129M 1327M
  0   0  99   0   0   0|   0  2048B|2647B  941B|   0     0 |  18    43 |0.27 0.18 0.12| 190M 19.0M  129M 1327M
  0   0  99   0   0   0|   0  2048B|1405B  761B|   0     0 |  18    43 |0.23 0.18 0.12| 190M 19.0M  129M 1327M
  1   2  96   1   0   0|   0  2048B| 113k 1485k|   0     0 |  18  2503 |0.21 0.17 0.12| 190M 19.0M  129M 1327M
  2   3  95   0   0   0|   0  2048B| 127k 1669k|   0     0 |  18  2679 |0.20 0.17 0.12| 190M 19.0M  129M 1327M
  1   2  97   0   0   0|   0  2731B| 118k 1561k|   0     0 |  18  2513 |0.18 0.17 0.12| 190M 19.0M  129M 1327M
  1   3  95   1   0   0|   0  2048B| 127k 1668k|   0     0 |  18  2657 |0.16 0.17 0.12| 190M 19.0M  129M 1327M
  1   2  96   1   0   0|   0  2048B| 133k 1754k|   0     0 |  18  2867 |0.15 0.16 0.12| 190M 19.0M  129M 1327M
  2   2  96   1   0   0|   0  2048B| 132k 1738k|   0     0 |  18  2789 |0.13 0.16 0.11| 190M 19.0M  129M 1327M
  1   3  95   1   0   0|   0  2048B| 137k 1803k|   0     0 |  18  2911 |0.12 0.15 0.11| 190M 19.1M  129M 1327M
  1   2  96   1   0   0|   0  2048B| 134k 1779k|   0     0 |  18  2849 |0.11 0.15 0.11| 190M 19.1M  129M 1327M
  1   3  95   0   0   0|   0  2731B| 135k 1774k|   0     0 |  18  2880 |0.10 0.15 0.11| 190M 19.1M  129M 1327M
